stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,73.64,0,0,0,0,0,0,0,0,0,0,0,15.58,0,0,0,0,0,0,0,0,0,0,0,28.54,216.9,0,0,27.44,0,51.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,133.93,0,0,0,18.45,0,0,0,0,0,226.1,0,0,0,0,0,0,0,0,0,0,0,301.84,698.15,0,0,51.82,0,55.72,0,0,7.65,0,5.74,0,0,0,0,0,0
 14-21,3.19,21.15,45.95,194.68,19.48,0,2.71,0,0,0,0,51.2,441.42,0,0,35.5,3.37,0,1.15,17.44,349.62,13.72,0,260.67,154.09,780.22,27.93,35.97,1.03,0,150.95,0,10.69,4.45,42.82,25.07,1820.19,0,0,1.8,0,1.01
 24-34,0,37.98,86.05,182.54,3.88,0,18.03,0,3.96,2.42,1.6,29.42,103.87,2.04,13.2,77.13,19.65,0.82,32.06,256.39,759.51,147.47,0,135.47,573.38,685.99,499.32,147.25,0,0,272.18,0,3.89,39.98,237.19,3.3,1686.52,0,0,60.38,0,6.23
 36-46,11.67,31.78,13.47,129.05,0,0,33.1,4.48,9.91,5.4,29.05,48.64,7.68,15.66,45.43,35.01,25.74,5.36,41.15,301.98,902.13,132.73,9.09,123.05,494.68,923.81,613.51,135.82,0,0,455.98,0,0,54.54,300.9,0,628.26,0,0,157.24,0,3.02
 48-58,11.51,38.88,20.36,200.67,1.09,0,110.61,4.8,36.57,2.27,237.79,83.24,92.69,19.03,62.58,36.85,74.36,14.47,128.95,256,1963.82,121.91,2.63,110.68,752.81,1042.49,579.88,172.07,0,0,354.46,0,0,29.4,341.09,0,697.21,0,0.37,196.15,0,16.14
 60-70,2.24,18.74,6.6,322.16,5.98,10.5,86.83,36.47,62.84,20.55,411.79,209.28,51.09,40.99,86.47,8.74,216.9,20.59,137.91,175.68,4105.35,90.7,23.47,70.79,688.61,615.21,517.72,172.64,0.81,0,376.13,0,0,21.52,179.43,0,510.78,40.41,13.06,205.4,32.96,67.95
 72-82,0,80.1,6.27,424.69,33.96,105.44,277.07,51.65,65.64,11.34,758.2,322.18,34.88,33.65,65.67,22.7,192.02,31.16,241.95,207.32,6651.58,159.54,37.52,42.09,1041.06,237.2,854.24,245.25,1.13,15.23,366.9,6.61,0,7.15,138.26,0,784.22,88.63,43.82,344.15,119.41,24.15
 84-94,11.09,97.61,56.17,563.85,19.62,213.01,317.53,79.14,77.13,4.14,709.95,615.26,18.11,27.63,94.62,40.18,109,23.66,1000.59,379.37,5855.7,149.57,72.14,43.45,965.88,411.96,756.02,389.98,0,1.8,781.06,0,0,11.97,207.7,0,742.09,359.04,44.21,315.72,150.58,0
 96-106,0,109.5,84.95,821.94,90.02,253.31,580.66,118.39,274.11,7.3,974.61,948.1,3.44,83.8,163.46,66.3,166.08,97.02,989.93,327.54,8134.32,221.31,60.03,57.75,1602.61,299.23,1602.19,414.39,0,18.56,1222.81,6.79,0,45.8,350.56,0,1555.9,629.87,132.91,555.74,325.66,6.21
108-118,2.02,80.18,101.35,584.39,22.05,189.01,287.17,136.15,310.73,14.17,888.59,812.45,0,47.65,110.82,42.6,255.3,66.05,2007.24,351.32,6886.04,101.95,26.57,59.42,1425.03,304.42,964.02,394.97,0,4.35,890.29,0,0,50.97,236.52,0,796.22,544.46,94.15,423.34,247.74,19.13
120,0,77.82,16.62,599.97,6.85,72.58,274.53,104.56,277.99,19.12,1167.99,523.82,5.2,27.24,208.76,30.99,187.17,88.99,727.69,137.74,7480.27,92.57,67.35,36.09,1656.82,465.46,859.12,349.96,0,13.84,561.33,0,0,28.42,98.93,0,948.54,243.85,59.11,479.28,406.76,15.67
