stage,epidermis,eye,lateral_line,neural,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,1.21,0,0
 24-34,0,2.21,0,14.3,0,0
 36-46,0,2.69,0,15.35,0,0
 48-58,0.88,10.36,0,24.2,0,0
 60-70,0,0,0,23.58,2.83,0
 72-82,0,1.56,0.83,16.39,0,0
 84-94,0,4.06,0,4.16,1.6,0.63
 96-106,0,0,0,5.27,0,0
108-118,0,0,0,5.61,0,0
120,0,0,0,1.15,0,0
