stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  7-9,3.43,0,0,3.45,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,5.23,0,0,0,4.71,0,0,0,0,0,0,0,0
 10-12,3.2,0,0,4.23,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,42.51,5.34,0,0,13.41,0,0,0,0,0,0,0,0
 14-21,0,2.9,0,0.99,0,0,1.56,0,2.19,0,0,0,0,0,0,4.68,0,1.88,55.38,0,0,1.33,0,0,1.54,1.91,0,1.03,18.46,0,0
 24-34,0,3.29,3.31,10.32,0,0,2.61,0,0,0.92,0,0,0,0,0,7.19,0,3.2,133.37,0,2.13,0,0,0,8.9,0,0,0,20.99,4.23,0
 36-46,0,0,0,57.14,1.24,0,3.53,0,0,0,0,0,2.81,0,0,7.32,0,3.4,161.48,0,0.57,1.05,0,0,1.51,1.78,0,0,44.34,0,8.59
 48-58,0,1.01,0,49.43,0,0,1.3,0.69,0,0,0,0,0,0,0,8.44,0,0.73,55.31,0,1.71,0,0,0,0,0,0,0,5.12,0,0
 60-70,0,1.67,0,19.53,0,0,4.25,0,0,0,0,0,0,0,1.06,2.3,0,0,37.74,0,0,0,0,0,0.59,0,0.73,0,1.97,2.44,0
 72-82,0,0.88,0,17.52,0,0,2.77,0,0,0,0,0,0,0,1.7,6.89,0.85,0,30.24,0,0.79,0,0,0,0,0,0,0,0,0.64,0
 84-94,0,2.09,0,8.68,0,1.74,0.97,0,0,0,0,0,0,0,0,8.07,0,0,28.54,1.11,0,0,0,0,2.46,0,0.56,0,2.21,7.61,0
 96-106,0,0,0,8.27,0,0,2.94,1.28,0,0,0,0,0,0.67,0,2.85,1.06,2.72,13.39,0,1.25,1.32,0,0,0,0,0,0,0,0.58,0
108-118,0,1.5,0,10.25,0,0,3.96,0.47,0,0,2.82,0.75,1.45,0,1.06,7.49,0.76,0.5,29.33,0,0,0.43,0,1.02,1.86,0,1.04,0,0,6.5,0
120,0,0,1.1,28.65,0,1.44,3.62,0,0,0,0,0,0,0,13.95,14.33,0,0,27.92,4.5,0,0,0,0,0,0,0,0,0,0,0
