stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.46,227.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,131.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,23.17,0,0,0,0,0,0,0,0,0,0
  7-9,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,46.58,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.74,0,0,5.69,0,0,0,14.64,0,0,0,0.97,0,0,0,0,0,0,0,0.9,46.03,2.04,1.03,0,0,4.1,3.41,0,0.8,14.36,21.44,0,0,0,0,0
 24-34,0,0,0,0,0,81.07,0,0,0,33.42,0.77,0,0,0,0,0,0,0,1.92,0,0,0,109.76,0,0.76,0,0,0.85,0,0,0,0,23.51,0,0,0,0,0
 36-46,0,0,0.75,0,0,314.26,0,0,0,21.9,0,0,0,0,0,0,0,0,1.06,0,0,0,155.46,0,0,0.85,0,5.62,0,0,0,0,20.2,0,0,0.81,0,0
 48-58,0,0,1.88,1.99,0,957.67,0,0,0,32.73,0.39,0.55,0,0,0,0,0,0,1.43,2.26,0,0,194.2,0,0,0,0,5.49,0,0,2.93,0,16.37,0,0,8.64,0,0
 60-70,2.52,0,12.67,0,0,2140.14,0,0,0,150.22,0,0,0,0,8.58,0,0,0,3.67,0,0.99,0,142.41,0,0,0,0,3.09,0,1.35,0,0,1.3,0,0,2.8,0,7.51
 72-82,0,0,13.8,0,0,3543.27,1.09,0,4.56,197.77,0.58,0,0.49,0,0,0,0,0,14.01,0,3.75,0,154.85,0,0,0,0,0,0,0,0,0,5.67,2.45,2.52,15.56,1.84,7.57
 84-94,0,0,19.44,3.08,0,2190.33,0,0,1.13,185.94,6.47,0,0,1.48,0,1.1,0,0,11.47,0,3.76,0,179.43,0,0.9,0,0,1.21,0,0,0,0,2.17,1.16,0,7.32,0,0
 96-106,0,0,12.17,31.16,0,2331.84,0,1.71,0,121.62,2.31,0,0.81,0,0.66,0.84,0,0,7.06,5.83,0.66,0.81,135.11,1.64,0.66,0.65,0,17.74,0,0,0,0,12.9,6.36,2.7,6.54,0,0
108-118,0,0,8.86,14.47,4.57,1985.27,0,0.45,3.53,90.78,2.42,0,0,0,0,0,0.43,4.49,13.14,0,0,0.55,128.35,0,1.84,0.82,0,3.6,0,0,0,0,0,15.38,0,8.24,0.63,0
120,0,0,17.99,0,0,1442.12,0,2,0,77.09,0,0,0,0,0,0,0,0,7.39,0,8.27,1.13,137.68,0,0,0,0,0,0,0,0,0,0,5.55,0,3.17,0,0
