stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,264.2,2275.51,0,0,0,0,0,0,0,20.6,0,0,0,0
  5-6,240.7,3639.22,12.33,0,0,51.42,261.37,54.62,75.86,43.77,0,0,0,0
  7-9,57,43.18,79.06,0,142.88,71.67,1235.12,72.47,528.56,0,0,0,0,0
 10-12,0,15.81,91.6,7.16,94.35,98.29,1203.75,124.2,469.95,4.05,6.56,49.12,3.87,4.51
