stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.01,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45,0,0,0,1.18,0,2.06,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,18.1,0.75,0,1.75,13.08,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.06,0,0,0,25.07,0,0,0
 48-58,0,0,0,0,3.16,0,0,2.64,0,0,0,0,2.12,0,132.54,4.14,0,0,24.91,0,0,0
 60-70,0,0,2.42,0,28.02,3.13,9.29,10.25,0.58,0,0,1,1.85,0,226.2,0,0,0,39.86,0,0,0
 72-82,0,0,1.44,0,58.84,0,0,12.83,0,0,0.57,2.88,4.01,0,435.83,0,0,0,31.03,0.53,0,0
 84-94,0,0,5.53,0,26.28,0,0,5.7,0.96,0,0,12.96,0,0,274.01,0,0,0,11.31,0,1.23,1.36
 96-106,0,0.6,17.99,1.05,39.04,0,3.05,15.2,0,0,0,6.3,2.05,0,350.2,0,1.06,0,6.72,2.03,0,0
108-118,0,0,8.82,0,45.8,0,2.4,12.79,0,0.61,0,16.73,2.28,0,390.29,0,0,0,4.46,3.82,0,0
120,0,0,29.37,0,86.87,0,0,5.38,0,0,0,24.46,15.41,0,439.72,0,0,0,23.81,5.48,0,0
