stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88,0,0,0,18.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.28,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.42,0,0,0,23.39,0,0,0,4.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.3,0.94,0,4.56,0,0,1.01,0,0,0,0.81,0,0,0,0,2.57,0,2.66,45.04,0,0,0,1.64,0,0,3.96,0,0,0.89,2.13,0,0,2.04,0,0
 24-34,0,0,1.12,4.77,0,0,4.89,0,0,1.38,0,0,6.33,0,0,0,0,0,11.01,0,3.55,58.7,0,0,0,0,0,1.09,0,1.04,0,0.74,15.21,0,0,2.13,0,0.6
 36-46,0,0,0,0.69,0,0,10.51,1.17,2.01,6.56,0,0,0,0,0,0,0,0,12.1,0,3.35,56.87,0,0,1.32,0,0,14.35,0,0,0,0,12.08,0,0,2.26,0,0
 48-58,0,0,0,5.3,0,0,30.44,1.35,0,3.87,0,0,0.4,0,0,0,0,0,14.69,0.46,0.38,64.22,0,1.27,0,0,0,0.6,0,0.37,0,0,6.11,0,0,3.83,0,0
 60-70,0,0,0,6.32,0.79,0,23.98,0,0,3.92,0,0,6.35,2.84,0,1.39,0,0,28.12,0,0.72,27.36,0,0,0,0,0,3.35,5.3,0.62,1.94,0,15.41,0,0,2.2,0,0
 72-82,0,0,0,0.71,2.14,0,32.56,0,1.53,6.99,0.53,0,0.57,0,0,0,0,0,39.04,0,1.51,31.5,0,1.33,1.92,0,0,2.09,0,0,0,0,0,0,2.75,2.76,0,0
 84-94,0,0,0,3.1,0.88,0,18.47,0,1.36,6.33,0,1.8,2.13,0,0,0.8,0,0,32.05,0,9.48,34.19,0,0,0,0,0,8,0,1.18,0,0,0,0,1.79,6.73,2.32,0
 96-106,0,0.63,0,4.16,5.97,0,17.06,0.73,4.06,8.44,0,0.88,5.39,0,1.03,1.04,6.85,1.15,41.39,0,2.72,33.23,0,0,1.92,0,0,9.44,0,1.28,0,0,0,0.71,0,10.28,1.93,0
108-118,0,0,0,7.02,10.58,0.98,27.68,0,0.74,4.72,1.59,0.88,1.07,2.22,0,0,1.99,1.87,30.93,0,2.46,27.78,0,0,0.75,0,0,10.6,0,0.51,0,0,3.34,0,0,3.67,1.72,0
120,0,0,0,1.08,0,0,11.63,0,0,19.53,0,0,3.58,0,0,0,0,0,17.23,3.43,9.44,9.83,3.19,3.22,0,0,4.76,6.83,0,0,0,0,0,0,0,3.34,0,0
