stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,liver,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,26.15,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0
  5-6,6.54,35.05,0,0,0,0,0,0,0,0,0,7.22,7.94,0,0,0,0
  7-9,0,4.63,0,0,0,4.04,0,0,0,0,0,24.12,0,5.75,0,0,0
 10-12,0,0,0,0,0,8.4,0,0,0,0,0,31.25,0,0,0,0,0
 14-21,0,0,0,0,0,1.34,0.88,0,0,0,0,3.23,0,0,0,2.51,0
 24-34,0,0,0,0,0,1.85,0,0,0,0,2.16,15.75,0,0,0,2.44,0
 36-46,0,0,0,0,0,3.86,0,0,0,0,0,68.5,0,0,0,5.58,0
 48-58,0,0,2.3,0,0,8.39,0.47,0,0.42,0,0.97,89.72,0.43,0,0,13.26,0
 60-70,0,0,0.68,0,0,34.47,0.73,0,0.76,1.85,5.44,79.12,5.04,0,0,4.06,0
 72-82,0,0,0,0,0,34.43,9.21,2.26,0,5.47,16.4,67.99,0,0,0,5.19,0.98
 84-94,0,0,0,0,0,18.54,0,12.92,0,22.25,15.5,75.75,0,0,1.79,5.11,1.19
 96-106,0,0,0,9.65,0,6.08,1.44,10.06,0,24.78,30.33,15.66,0,0,1.02,3.24,0
108-118,0,0,1.53,0,0.91,12.71,15.79,12.09,0,76.91,74.46,17.51,0,0,0.84,0,0
120,0,0,4.66,0,0,16.67,0,7.76,0,56.55,53.34,65.88,0,0,2.08,0,0
