stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,32.24,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,15.66,0,0,6,8.61,259.2,0,0,0,3.14,2.86,0,3.8,0,0,0,0,0
 24-34,0,0,2.35,237.07,0,0,44.04,0,1.69,0,2.09,3.24,0,18.95,0,0,0,0,2.29,0,51.08,0.62,0.89,42.21,89.53,1755.8,0,0,0,7.84,1.26,0,6.4,0,0,10.75,0,0
 36-46,0,0,0.89,392.2,0,0,109.79,0.78,10.35,0.82,1.7,4.49,0,26.52,0,0,0,0,0,0,102.32,1.08,4.42,24.41,99.61,3196.59,1.22,0,9.61,12.56,11.39,0,21.11,0,0,1.63,0,0
 48-58,2.12,0,0.4,188.96,0,0,218.01,0,7.56,0,11.53,0,0,4.38,3.09,0,0,0,3.11,7.78,242.54,0.52,0.41,4.35,195.03,5096.87,1.1,3.68,0,1.77,0,0,27.16,0,0,1.73,0,2.38
 60-70,28.73,0.86,0,145.75,2.86,0,73.49,0,4.59,10.42,12.6,0,0,0,1.88,0,10.56,1.55,22.55,6.22,3443.12,0,0,3.26,167.84,4378.25,0,77.87,0,5.98,7.12,0,3.51,1.44,3.18,6.77,0,0
 72-82,0,0.68,0,67.21,5.12,1.16,238.52,0,1.48,1.49,5.78,2.79,14.91,0.73,3.85,0.66,5.25,0,9.99,0,7649.83,1.3,0.77,15.23,276.41,2567.3,3.52,139.51,0,6.73,0.9,0,13.43,0,3.16,1.61,2.27,25.61
 84-94,3.08,0,0,73.99,3.37,0,198.74,0.66,1.3,3.81,9,0,0,0,3.22,0,0,0,4.96,10.35,7839.31,3.36,6.99,4.99,138.72,5059.21,2.82,243.46,0,11.63,0,1.02,12.39,0,10.92,11.11,1,0
 96-106,14.09,2.39,0,110.92,13.48,0.62,113.56,3.6,3.35,0,23.44,3.08,0,2.41,15.26,0.68,1.03,0,4.85,0,5457.73,2.41,1.79,20.16,114.13,3087.05,2.49,390.46,0.83,15.83,0,1.47,6.09,0,12.14,4.18,1.95,13.88
108-118,21.9,0,0,101.3,2.14,3.82,106.27,1.32,10.05,4.75,23.95,11.77,0,3.07,10.81,2.65,2.39,0,10.18,0,5022.76,0,2.78,2.09,149.89,3483.86,4.25,263.98,0,10.08,0,0.41,10.15,0,7.77,0.67,2.5,6.06
120,56.8,0,0,122.52,9.43,3.54,125.14,0,6.76,0,41.69,6.78,15.61,21.37,3.07,1.72,0,0,9.05,0,8193.16,0,7.63,12.66,128.35,7245.73,0,442.96,0,4.36,0,0,12.69,0,4.7,5.76,8.85,0
