stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,161.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0
  5-6,16.1,255.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,20.1,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.51,0,0,7.86,0,0,0,0,6.42,0,0,0,0,0,0,0,0,129.28,5.9,0,0,25.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.48,0,97.16,0,0,34,0,0,0,0,4.38,0,0,0,0,0,0,0,0,317.13,7.15,0,0,119.58,0,9.06,0,8.35,0,0,0,0,0,0,0
 14-21,0.89,0,0,121.43,1326.96,1.93,3.2,1.1,0,1.01,1.91,0.86,0,4.74,0,1.46,132.8,2.26,0,31.46,149.54,0,3.7,0.81,15.07,19.46,0,6.67,0.82,2.46,5.07,24.65,0,0,0,0
 24-34,0,0,0,9.47,581.24,0,16.75,2.56,0,0,0,0,0,1.87,7.3,2.83,55.56,7.41,0,18.49,124.24,8.89,3.37,0.99,0,29.72,0,0,4.47,0,2.03,19.87,0,0,3.37,1.01
 36-46,0,0,0,1.18,90.81,0.6,0.6,2.19,0,1.49,0,0,0,1.23,2.18,12.31,24.79,1.12,1.63,6.46,85.48,4.03,0,1.77,0,7.36,0,0,2.85,0,0,5.1,0,0,0,3.2
 48-58,0,0,0,0,1.53,0,6.03,0,0,7.02,0,0,1.28,0.89,0.65,0,10.4,0,0,1.63,50.2,0.49,0,0.96,0,0.57,0,0,0,0,0,8.17,0,0,0,0
 60-70,0,0,0.65,0,11.04,0,17.12,0,0.87,0.91,0,0,0,0,0,1.05,10.54,0,0,0,35.61,0,0,1.97,0,0,0,0,0,0,0,1.05,0,0,0,0
 72-82,0,0,0,0,11.4,0,13.92,0,0,2.46,0.97,0,0,0,0,0,3.72,0,0,0,25.02,0,0,2.48,0,0,0,0,0,0,0,2.35,1.03,0,0,0
 84-94,0,0,0,0,1.18,0,3.54,0,1.59,3.52,1.64,2.66,0,0.61,0.58,0,4.46,1.01,0,0,29.95,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.4,0,12.74,0,0,0,0.57,0,0,0,1.48,0,10.07,0,1.37,0,21.8,0,0,1.93,0,0,1.35,0,0,0,0,2.15,3.27,0,0,0
108-118,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0.7,1.28,0,0,0,27.99,0,0,3.14,0,0,0,0,0,0,0,0,0,0.53,0.91,0
120,0,0,0,0,0,0,0,0,0,6.11,0,0,0,2.21,0,0,1.46,0,0,1.93,16.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
