stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.16,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.59,138.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,6.37,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.44,0,0,8.06,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.8,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.09,0,0,5.72,0,0,4.36,0,0,0,0,0,0
 14-21,0,0,0,4.34,0,0,0,0,0,0.98,0,0,0,0,0,0.99,0,0,3.76,25.84,0,0.93,0,0,2.59,0,0,9.09,0,0,0,0
 24-34,0,0,0,1.59,3.37,0,0,0.83,1.05,0,0,0,0,0,0,0,0,0,0.8,35.28,0,0.64,0,0,0,0,0.61,8.87,0,0,0,0
 36-46,0,0,0,0,2.22,0,0,0,1.62,0,0,0,0,0,0,0.59,0,0,0,47.88,2.92,0.81,0,0,9.19,0,0,7.57,0,0,0,0
 48-58,0,0,0,0,3.94,0,0,0,2.55,0,0,0,0,0,0,3.86,0,0,0,28.69,3.12,0,0,0,0,0,0,3.23,0,0,0,0
 60-70,0,0,0,1.09,15.4,0,0,0.89,0,0,0,0,0,0,0,4.29,0,0.81,0,39.1,0,0,0,0,0,0,0,2.06,0,0,0,0
 72-82,0,0,0,0,5.82,0,0,0,3.65,0,0.89,0,0,0,0,7.92,0,1.08,0,19.74,1.49,0,0,0.88,0,0,0,3.16,0,0,0,0
 84-94,0,0,0,2.53,2.84,0,0.63,0,2.96,0,1.8,1.36,0,0.69,0,6.97,0,0,2.04,12.06,2.34,0.92,0,0.94,0,0,0,0.75,0,0,0,0
 96-106,0,0,0,3.37,9.99,0,0,0,0,0,0,5.58,1.18,2.32,0,8.19,0,0,2.75,24.97,3.47,3.65,0,0.6,0,0,0,1.93,0,0,1.67,0
108-118,0,0,0,1.34,3.13,0.44,2.15,0,0,0,0,3.77,0,0,0.54,6.9,0.46,2.23,0.85,39.37,3.59,1.91,0,3.31,0,0,0,5.22,0.9,1.11,0,1.19
120,0,0,0,7.21,3.51,0,0,0,0,0,0,7.18,0,0,0,10.36,0,0,0,38.11,1.26,1.47,0,4.8,0,0,0,0,0,0,0,0
