stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,gut,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  7-9,0,0,4.1,0,0,0,0,0,0,0,0,12.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.14,0,6.59,0,0,0,0
 14-21,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.68,0,0,0,3.15,1.06,0,0,0,0,0.73,0,0
 36-46,0,0,0,0,0,0,0,2.49,0,0,0,0.73,0,0,1.36,0,0,6.36
 48-58,0,0,0,0,0.7,0,0,0,0,0,0,4.7,0,0,6,0,0,7.25
 60-70,0.63,0,0,0,0,0,0,0,0,0,0,2.95,1.44,0,4.88,1.41,0,0
 72-82,0,1.45,0.61,0,0,0.72,0,0,1.45,2.18,0,1.11,0,0,3.11,0,0,0
 84-94,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.76,0,0,0
 96-106,0.95,0,6.78,0,0,0,0,0,0,0,0,0,0.68,0,7.88,0,0,0
108-118,3.18,0,0,0,0,0.5,0.75,0,0,0,0,0,0,0,1.81,3.58,0,0
120,5.51,0,0,1.11,0,0,0,0,0,2.84,0,0,0,0,3.49,0,1.27,0
