stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2.14,0.81,0,0,0,0,0,0,0,0,0,0,14.98,0,6.1,7.16,0,0,0,0,0,2.21,0,0.88,10.58,1.93,0,0,0,0,0
 24-34,0,1.46,1.03,1.68,0,0,0,3.18,0,2.97,0,0,0,0,125.66,0,15.9,51.53,0,0,0,0,0,0,0,0,6.72,9.87,0,0,1.36,0,0
 36-46,0,0,0.76,2.66,0,0,4.44,0.64,0,5.16,0,0,0,0,197.61,1.27,31.64,43.04,0.66,8.3,0,0,5.93,0,0,0,0,9.81,0,0,2.22,0,0
 48-58,0.58,0,0,19.45,0,0,2.54,12.61,0,3.6,1.09,0,7.19,0,342.8,1.77,54.34,73.92,0,0,0,0,0,0,0.56,0,0,14.17,0,0.37,2.19,0,1.52
 60-70,0,6.12,0.57,24.6,0,5.31,12.57,25.71,0,11.46,5.85,0,0,1.2,667.62,1.29,57.11,81.11,0,0,0,2.22,2.33,0,0,0,0,16.14,0,3.57,9.51,3.31,0
 72-82,0,2.15,0,25.2,2,0.8,13.33,26.26,0.62,18.06,0,0,0,1.73,979.23,8.31,51.66,63.26,0,0,0,6.01,0,0,5.67,0,0,4.93,0,15.09,13.51,5.68,0
 84-94,0,12.46,7.1,38.5,0.98,8.84,20.94,32.24,0,9.31,0,0.76,0,0,816.98,33.19,24.9,80.92,0.62,0,0,4.7,0.65,0,11.53,0,0,2.9,0,10.08,0.55,7.9,0
 96-106,0,1.75,0,14.96,0.9,0,12.19,33.51,0,17.11,0,0,0,0,647.65,7.06,38.59,50.45,0,0,0.74,10.39,2.78,0,7.9,0,0,9.31,0,13.24,15.2,12.38,0
108-118,0,6.44,11.5,33.14,2.03,0,4.77,51.99,0,22.53,0.75,0,0,0.7,863.97,18.28,25.38,39.44,0,0,4.25,27.91,0,0,0.67,0.69,0,5.24,0,26.26,3.06,7.24,0
120,0,25.87,11.1,31.14,3.14,1.91,33.89,16.8,0,28.69,0,0,0,0,916.49,50.14,27.93,58.07,3.28,0,2.92,44.65,0,0,0,0,0,2.04,1.94,13.51,0,23.89,0
