stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,56.41,781.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,0,0,0,0,0,0,0,0,0,0,0
  5-6,108.49,1447.74,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,69.19,7.94,0,0,28.52,55.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,59.57,15.97,0,40.76,0,0,119.75,0,0,0,0,13.31,0,0,0,0,0,0,0,0,0,0,1122.47,64.5,0,0,290.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,5.69,0,88.28,0,6.59,95.06,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,829.39,20.79,0,0,280.35,0,5.33,0,24.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.95,3.47,7.95,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,10.09,120.5,5.52,0,1.09,4.71,0,0,17.06,0,3.43,10.39,46.16,0,0,1.09,0,0
 24-34,0,0,0,0.59,10.68,0,16.22,0,0,6.04,1.53,0,0,0,0.94,1.17,0,0,26.22,1.3,0,7.68,267.31,1.3,3.05,2.94,0,1.41,0,0,0,0,3.17,60.07,0,0,0,0,0
 36-46,0,0,0,0,1.76,0.76,74.02,0,0.72,28.49,0,0,0,0,0,0,0,0,33.22,0,0,3.59,286.99,0,3.31,0.57,0,8.87,0,0,0.62,0,0,61.02,0,0,4.36,0,0
 48-58,0,0,0,0,0.94,0,61.31,0.39,0.39,23.51,0,1.19,0.45,0.56,0,0,4.18,2.65,30.11,0.8,0,10.12,222.69,0,4.05,0.92,0,10.55,0,0,0,0.77,0,25.73,0,0,1.42,0,0.83
 60-70,0,0,0,0,20.37,0,69.6,9.9,0,25.35,3.42,0,0.95,0.63,0.62,0,0.73,0,53.56,4.53,1.3,3.8,162.07,0,0,0.89,0,4.56,0,0,0,0,0,22.41,0,0,6.28,0,0
 72-82,0,0,1.55,0,3.72,14.48,72.9,0,0,24.92,0.51,0,0,1.81,6.45,0,0.75,0,35.09,1.71,1.2,6.57,145.36,0,2.55,3.92,0,2.34,0,0,0,0,0,18.23,0,0.52,1.07,2.17,0
 84-94,0,0,0,0,6.61,0,79.77,0.75,2.54,9.41,0,0,0,1.96,0,1.02,1.38,0,66.86,0,2,3.73,96.06,0,2.97,0.64,0,16.61,0,0,0,0,0,0.65,0,0,1.57,2.62,0.64
 96-106,0,0,1.43,0,5.44,26.41,33.07,3.37,0,13.95,2.39,0,0,6.71,2.55,0.72,2.22,0,28.63,0,0.59,1.99,58.78,0,4.46,3.65,0,6.14,0,0,0,0,0,8.7,1.78,0,2.4,0.81,0
108-118,0,0,0,0.74,4.56,1.52,29.24,0,1.31,10.39,2.16,0,0,2.98,0.58,1.67,0,0,45.58,0,1.4,3.81,102.06,0.67,3.01,3.63,0,3.04,0,0,0,0,0,0.52,1.01,0,2.68,2.36,0
120,0,0,0,0,5.65,0,48.77,1.05,0,42.82,9.62,0,0,14.74,0,0,7.68,0,51.02,0,2.47,10.1,158.18,0,0,0,0,6.98,0,0,0,0,0,0,0,0,14.81,0,3.64
