stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.22,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,33.56,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,47.23,5.97,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.84,1.86,2.53,0.87,0,0,0,2.3,0,0,0,0,0,0,0,0,0,4.94,0,5.31,19.74,0.88,1.03,15.24,0.86,0,0,0.91,6.45,0,2.92,108.46,4.78,0,1.94,0,0
 24-34,0,0,0,2.16,2.61,1.99,0,0.61,0,1.55,0,0,1.37,0,0.78,0,0,0,0,93.76,0,22.68,54.47,0.6,2.82,14.99,0,0,1.49,0,0,6.15,0,12.17,19.11,0,3.82,0,1.87
 36-46,0,0,0,3.24,0,3.83,0,10.03,1.19,2.74,0,1.26,0,0,0,0,0,0,0,172.47,0,33.52,58.91,0,1.28,8.58,0,0,3.06,0,0,7.79,1.28,0,14.3,1.25,18.14,0,0
 48-58,0,0,0,0,0,16.25,0,9.25,5.84,20.39,0,0,0.69,0,0,0,0,0,0,319.76,3.62,36.07,84.23,0.65,1.06,29.48,0,0,0,0,0,0.49,0,0,10.94,0.42,36.19,0,0
 60-70,0,0,0,8.74,0,49.22,1.02,18.97,8,24.81,5.38,0,5.02,0,0,0,0,1.63,0,438.6,2.08,50.57,57.39,6.65,0,4.95,0,3.4,0.63,0,0,3.18,0,0,10.09,4.74,16.39,2.63,0
 72-82,0,0,0,8.26,2,72.51,1.33,6.19,10.27,18.06,0,0,2.63,0,0,0,0.51,1.17,3.59,579.73,15.4,34.28,59.3,0,0,12.48,0,3.8,3.01,0,0,5.28,0,0,0.92,6.12,61.92,5.42,1.87
 84-94,0,1.42,0,0,0,71.8,0,14.87,7.5,61.23,0.97,1.4,2.26,0.56,0,0,0,0,7.89,467.62,9.41,21.94,60.58,0,0,17.17,0,3.32,2.89,0,0,0.7,0,0,8.12,8.18,47.62,1.26,0
 96-106,0,0.9,0,2.49,0,61.34,0.9,2.69,6.5,45.82,0,0,4.27,0.96,0.78,0.89,2.78,0,0,364.18,18.78,14.33,65.08,1.52,0.7,12.18,0,2.25,1.26,0,0,1.31,0,0,6.56,1.94,46.55,0,0
108-118,0,0,0,3.25,1.58,52.23,2.37,8.6,8.33,38.37,2.3,0,1.4,5.26,2.93,2.25,0.67,5.97,6.23,312.35,17.31,11.19,66.11,0,1.24,8.62,0,15.71,0.76,0,0,1.18,0,0,1.85,5.67,26.5,0,3.27
120,0,1.37,0,0,0,40.31,0,0,0,21.32,1.26,0,0,0,1.4,3.01,4.67,0,0,257.97,19.16,1.49,75.68,0,0,28.77,0,1.79,1.28,0,0,1.73,0,0,0,0,58.8,0,0
