stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.71,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,11.86,13.94,0.88,0,0,0,0
 24-34,0,0,0,6.05,0,16.07,0,0,0,0,0,2.16,0.69,0,0,0,0,0,4.1,4.63,0,0,0,0,0,0,0,14.2,22.49,1.27,0,0,0,0
 36-46,0,0,0,0,0,71.23,3.69,0,0,1.79,0,1.67,0,0,0,0,0,2.78,7.54,26.59,0,0,0,0,0,0,0,17.94,2.91,3.38,0,0,0,0
 48-58,0,0,0,7.12,0,530.73,1.76,0,1.32,3.76,0,0,0,0,4.83,0,0,5.2,8.47,54.94,0,0.47,0.81,0.56,0,0,0,5.9,0,8.31,0,0,0,0
 60-70,0,0,0,1.42,0,2268.81,4.27,1.4,0,2.29,0,0,0,0,0,0,7.3,15.63,7.12,82.13,0,0,0,0,0,0,2.7,9.48,0,27.94,0,0.71,0,7.68
 72-82,0,0,0,2.07,0,1692.14,3.11,0,3.53,17.21,0,0,0,0,1.15,0,0.57,40.35,16.63,132.12,0,0,0,0,0,0,0,2.4,0,23.46,0,1.18,2.04,2.89
 84-94,0,0.94,0,5.94,0,786.41,1.98,0,4.69,22.17,0,0,2.81,0.74,1.06,0,7.46,23.68,9.51,83.41,0,0,0,0,3,0,0,4.64,0,11.67,0,3.33,0,8.41
 96-106,0,0,0,9.99,4.21,855.69,1.79,0.58,1.02,29.13,0,0,1.08,0,0,3.83,0,45.59,0,121.89,0,0,0,0,7.4,0,0,3.82,0,5.31,0,0,5.35,2.14
108-118,0,0,0,0,0.62,772.71,6.71,0,0,16.96,0,0,1.39,0,0,0,11.89,36.06,3.41,117.05,0.69,0.77,0,0,0,0.79,0,2.73,0,3.24,0.71,3.62,1.37,2.17
120,0,0,0,1.08,0,643.56,1.06,0,0,24.11,0,0,3.17,0,0,9.22,0,84.93,0,226.61,0,0,0,0,1.8,0,0,0,0,44.04,0,0,3.29,0
