stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,52.97,541.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,99.57,3354.33,0,10.71,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,150.86,0,0,0,82.18,37.02,0,0,0,0,0,0,0,0
  7-9,28.91,257.18,0,47.41,0,0,0,657.56,0,0,21.15,0,0,0,0,0,0,0,0,0,0,6252.5,144.67,0,0,2470.78,18.39,0,0,12.83,0,0,0,0,0
 10-12,0,103.95,0,29.58,0,0,0,110.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1677.97,28.69,0,0,668.01,0,0,0,55.54,0,0,4.33,0,0
 14-21,0,0,1.09,0,10.09,1.72,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0.91,29.94,0,1.89,0.98,0,2.31,0,7.32,5.29,0,3.43,21.86,0,0
 24-34,0,0,0,0,0,0.99,0,1.23,0,0,0,0,2.1,0,1.4,0,0,10.06,0,0,2.28,95.59,0,2.56,0,0,0,0,0,0,0,0.64,31.76,0,0
 36-46,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0.67,0,0,0,442.72,0,5.54,1.41,0,0,0.81,0,0.58,0,0,108.17,0,0
 48-58,0,0,0,0,4.6,0,0,24.18,0.73,4.34,0,0,0,0,0,0,0,2.84,0,0,1.71,599.56,1,2.87,0.63,0,0,0,0,0,0.93,0,128.46,0,0
 60-70,0,0,0,0,0,0,0,112.07,0.7,1.45,0,0,0,0,0,0,0,2.88,1.01,0,0,933.51,1.37,6.76,0.71,0,0,0,0,0,0,0,134.32,0,0
 72-82,0,0,0,0,1.33,6.89,0,61.58,0,12.64,0,0.59,0,0,0,2.65,0,6.13,0,0,0.69,655.55,0,4.03,0,0,7.21,0,0,0,0,0,85.49,0.64,0
 84-94,0,0,0,0,1.17,4.14,0,81.84,0,12.03,0,0,0,0.61,0,0,0.72,1.46,0,0,1.23,548.81,0,1.84,0,0,0.58,0,0,0,0,0,38.59,9.47,0
 96-106,0,0,0,0,3.17,14.41,0,43.88,0,0.57,0,0,0,0,1.05,0,0,5.81,0,0,0,420.18,0,5.73,0,0,4.5,0,0,0,0,0,34.42,0,1.22
108-118,0,0,0,0,9.71,0,4.13,64.48,0,5.31,0,0,1.01,0,0,0.56,0,7.4,0,0,0,331.31,0,4.32,0.66,0,1.16,0,0,0,1.3,0,5.06,0,0
120,0,0,0,0,12.85,0,0,39.18,2.98,23.33,0,0,0,3.86,0,0,0,24.08,0,10.79,7.52,626.98,0,13.13,3.28,0,0,0,0,0,1.21,0,29.3,14.22,2.59
