stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,10.12,80.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.65,0,0,0,6.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.62,5.93,0,0,10.62,0,0,7.7,0,0,0,0,0
 14-21,0,0,4.11,0,0,0,0,0,0,0,0,0,0,120.14,0,0,0,0,6.66,0,0,4.45,0,1.74,0,0,0,36.1,0,0,5.21,0,0,0
 24-34,0,0,2.96,2.05,0,0,3.66,0,0,0,0,0,0,317.37,0,0,0,1.95,29.02,0,2.57,58.86,0,54.92,5.12,0,0,130.91,1.26,0.85,4.97,0,5.55,1.46
 36-46,0,0,0.6,0,0,3.95,0,0,0,0,0,0.83,0,73.87,0,3.34,0,10.74,6.62,0,0.71,136.89,0,72.91,25.29,0,0,129.56,0,0,4.77,0,3.89,0
 48-58,0,0,8.7,0,0,12.49,1.03,0,1.19,0,0,0,2.44,26.26,0,2.71,0,6.16,4.84,0,0.66,80.05,0,29.79,7.51,0,0,92.09,0,0,2.37,0,3,3.07
 60-70,0,0,4.62,0,0,13.54,3.9,0,3.69,0,0,0,2.09,42.72,0,12.56,0,1.17,3.87,0,0.75,80.89,0,38.41,1.73,0,0,122.14,0.93,0,6.76,0,0,0
 72-82,0,0,4.24,0,0,11.3,0,0.75,6.95,0,0.65,0,5.34,62.28,0.78,9.26,0.54,4.82,0.73,0,2.29,53.89,0,33.82,5.26,0,0,76.1,0.63,0,0,6.75,3.7,1.52
 84-94,0,0,19.38,0,0,7.08,0,1.79,2.51,1.81,0,0,8.16,116.34,0,6.38,0,18.21,6.49,1.17,0,44.09,0,46.38,6.34,0,0,231.42,1.04,0,0,9.68,0,0
 96-106,0,0,18.69,0,0,24.42,3.74,0,3.49,2.62,0,0,8.67,109.37,0,17.08,1.72,8.52,0.78,0,0,13.3,0,40.15,3.87,0,0,113.35,0.57,0,0,11.34,2.1,0
108-118,0,0,10.7,0,0.5,8.45,2.84,0.59,4.82,6.31,0,0,5.25,102.27,0,9.58,0.43,5.58,17.41,0,1.41,38.26,0,15.26,19.93,0,0,107.49,0.59,0,3.72,12.89,0,0
120,0,0,29.79,0,0,12,5.39,0,4.23,0,0,0,24.46,67.99,0,16.1,0,0,4.47,0,5.73,39.54,1.57,44.75,18.26,0,9.62,106.09,0,0,0,4.47,3.65,0
