stage,endocrine_pancreas,epidermis,eye,glial,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0
 24-34,0,0,0,0,1.18,0,0,0,0.68,0.64,0,0,0,1.26
 36-46,0,1.3,0,0,0,0,1.91,0,0,0,0,0,0,0
 48-58,0,0.39,0,1.78,0,4.43,0,0,0,1.77,0,0,0,0.64
 72-82,0.54,0,0,0,0,0,1.1,1.37,0,0,0,0.57,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42
 96-106,0,0,1.18,0,0,0,2.49,0,0,0,0,0.83,1.34,5.6
108-118,0,0,0,0,0,0,7.21,0,0,0,0,0,0,0
120,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0
