stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.45,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.26,0,0,0,15.67,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,117.79,19.04,0,0,40.65,0,47.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,68.78,0,0,0,31.86,0,0,0,0,0,12.45,0,0,0,0,0,0,0,0,0,0,443.54,10.17,0,0,115.64,0,28.94,0,4.36,11.02,0,0,0,0,0,0,0
 14-21,0,0,0,18.79,320.93,2.77,0,9.22,0,0,0,2.96,7.94,4,0,0,2.92,0,1.55,0,11.4,2.91,0,8.72,104.05,14.42,5.23,2.79,0,0,695.74,3.61,5.49,1.65,15.59,19.12,0,0,0,0,0
 24-34,0,0,0,7.78,92.93,0.66,0,21.02,0,2.21,0,2.28,6.9,6.16,0,0,5.2,0,3.77,8.42,22.5,9.82,0,13.11,176.51,0,14.34,3.77,0,0,1416.61,0,0,4.05,3.08,26.39,0,0,15.67,0,0
 36-46,0,0,0,0,27.14,0,0,10.34,0,11.81,0.6,6.39,8,0,0,0,1.44,0,2.41,1.86,36.69,11.47,0,15.38,93.08,1.22,8.57,5.04,0,0,1677.53,0,0,5.17,0,11.32,0,0,5.33,0,0
 48-58,0,0,0,0.43,68.69,0,0,48.1,1.6,26.73,1.29,9.47,21.26,0,0,0.4,3.65,0,5.06,4.85,76.06,13.45,0,9,114.52,0,6.23,8.88,0,0,1561.6,0,0,3.14,0,24.25,0,0,0.96,0,0
 60-70,0,0,0,0,78.97,2.83,0,56.51,0,36.85,0.62,2.11,64.96,0,0,0,7.63,0,2.39,24.91,67.9,8.43,0.91,7.75,98.84,0,3.61,5.18,0,2.16,1202.69,0.64,0,8.66,0,6.99,0,0,0.96,0.81,11.9
 72-82,0,0,4.14,0.75,146.02,1.76,0.9,80.88,2.7,23.25,6.82,21.84,224.48,0,1.56,4.28,13,0,7.15,39.32,117.17,9.08,2.03,13.04,133.98,0,10.19,20.53,0,0,1079.23,0,0,7.45,0,17.67,6.24,2.4,11.7,3.81,9.61
 84-94,0,0,3.97,0,315.48,3.07,0.92,64.56,0,79.61,3.37,18.7,488.58,0,0.88,3.97,48.14,0,9.08,46.6,118.6,24.31,1.37,7.35,111.26,0,27.26,23.43,0,0,3010.04,0,0,18.03,0,2.54,22.34,4.47,7.93,7.27,7.75
 96-106,0,0,6.58,0.88,498.45,20.62,2.04,154.99,0,77.36,1.06,40.07,665.14,0,3.66,4.42,61.72,5.31,23.15,72.7,130.89,38.43,4.53,9.9,272.6,2.01,40.31,31.75,0,0,2523.01,0,0,16.76,0,3.68,31.41,8.24,9.43,1.28,27.72
108-118,0,0,4.4,0,470.04,9.25,6.34,147.72,0.42,119.94,3.36,20.08,640.51,0,1,7.07,75.27,0,31.21,85.21,150.14,45.21,7.2,14.56,241.16,1.07,25.88,40.49,0,1.07,2402.53,0,0,17.21,0,3.82,51.79,3.56,11.66,2.85,7.3
120,2.37,0,11.19,0,334.77,5.57,0,57.3,0,81.14,10.14,4.63,294.32,0,2.11,5.06,25.92,1.18,10.35,45.97,94.32,15.32,5.84,22.26,238.87,0,26.37,26.3,0,2.03,1303.02,2.5,0,13.24,0,16.87,13.33,0,0,15.76,8.31
