stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0
  5-6,0,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.42,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.6,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,43.62,0,0,0,18.4,0,10.41,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.86,5.97,0,0,0,0,22.57,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.78,0,0,1.17,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,22.44,0,0,0,0,0,107.08,0,0,0,1.05,0,0,0,0
 24-34,0,0,0,11.38,0,0,8.72,0,0,0,1.3,0,0,0.62,0,0,0,0,0.97,2.61,0,0.75,27.33,0.7,4.85,2.05,0,0,234.3,3.94,0,1.11,2.78,0,1.45,0,0
 36-46,0,0,0,5.58,0,0,22.91,0,1.35,0.97,0.56,0,0,0.58,0,0,0,15.33,2.32,7.65,0,0,30.36,0,2.42,0,0,0,473.57,1.97,0,0,4.51,0,0,0,1.44
 48-58,0,0,0,12.58,0,0,55.74,0,2.24,3.87,3.75,0,0,0.77,0,0.44,0,32.03,2.3,1.98,0.75,0.54,44.33,0,1.17,0.61,0,0,577.69,0.45,0,0,10.57,0,0.42,0,0
 60-70,0,0,0,12.3,0,0,12.26,0,1.83,1.1,15.47,0,0,3.14,0,0,6.47,30.5,1.24,0,0,0.96,40.71,0,1.09,0,0,0,316,0,0,0,10.66,0,0,0,0
 72-82,0,0,0,21.83,0.52,0,17.92,5.37,1.8,4.98,96.49,0,0,2,9.58,0,1.59,12.49,7.54,0.5,0,0,64.7,0,0,1.89,0,0,134.27,1.21,0,0,6.8,0.59,0,0,3.97
 84-94,0,0,1.26,55.12,1.48,0,41.43,0,12.69,7.52,224.12,0,2.56,10.05,9.05,0,0,27.23,5.65,2.47,0,0,53.5,0,2.36,4.33,0,0,496.79,7.02,0,0,1.23,0.67,0.74,0,0
 96-106,0,0,3.83,48.69,25.5,0,24.36,0,1.91,9.96,523.69,0,1.29,5.57,3.21,0,16.7,1.32,10.14,1.72,0,0,76.06,0,1.38,4.42,0,3.88,183.33,7.9,0,0,1.77,0,0,0,0
108-118,0,0,4.4,53.5,1.44,2.73,49.58,0,6.84,3.97,781.1,0,0.63,10.12,35.19,0.69,6.04,20.07,11.86,1.49,0,1.56,116.39,0,0.66,0,0,0,162.14,19.75,0.49,0,0,1.86,0,0,0
120,2.37,0,3.01,40.23,1.81,1.14,42.21,0,2.13,0,371.11,0,0,1.36,30.88,0,19.07,20.15,0,0,0,10.02,107.33,0,0,0,0,0,51.25,6.86,0,0,0,6,2.01,1.8,0
