stage,epidermis,eye,liver,periderm,pronephros
 60-70,0,0,1.77,0.75,0
 72-82,0,0,0,0,3.46
 96-106,0,0.61,1.12,0,0
108-118,0,6.73,0.43,0,0
120,1.39,0,0,0,0
