stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,164.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,414.37,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.62,0,0,0,0,0,18.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.81,4.41,0,0,61.21,0,3.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,11.74,0,0,0,36.23,0,0,0,0,0,15.29,0,0,0,0,0,0,0,0,0,255.01,0,0,0,28.32,0,21.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,19.45,182.56,10.22,0,2.4,0,2.75,0,0,5.58,0,0,0,6.35,0,0,4.74,0,0,0,17.94,0,0,4.36,0.99,0,26.74,1.12,3.46,2.66,0,3.32,0.97,0,0,0,0,0
 24-34,0,0,0,9.8,52.23,0.62,0,1.96,0,3.43,0,0,6.66,0,0,0,7.45,3.17,0.68,0.73,9.59,0,0,38.76,0,7.01,4.57,0,0,99.63,0,0,4.43,0,0,1.86,0,0,2.67,0,0
 36-46,0,0,0,0.63,37.03,0,0,1.88,0,9.75,0,0,2.91,0,0,0.66,7.71,3.42,0.78,1.56,1.49,0,0.92,82.32,0,2.72,0.78,0,0,78.21,0,0,0,0,0,4.15,0,0,0,0,0
 48-58,0,0,0,0.51,44.47,0,0,4.76,0,8.07,0,2.2,2.52,2.69,0,0,0.78,5.26,0,0.94,4.66,0,0,31.74,0,3.32,0.59,0,0,59.39,0,0.92,15.65,0,0,4.98,0,0,0,0,0
 60-70,0,0,0,0,22.34,0,0,4.65,0,13.93,0,9.35,5.98,1.21,0,0,0.59,2.6,0.78,5.2,0.62,0,0,47.55,3.12,3.07,16.22,0,0,57.16,0,0,3.49,0,0,0,0,0,0.87,0,0
 72-82,0,0,4.5,0.75,36.97,0,0,6.31,0,21.37,0,15.65,9.83,1.67,0,0.52,9.97,8.3,4.1,18.82,7.55,0,0,36.49,0,2.49,4.52,0,0,59.11,0,0,3.08,0,0,2.31,10.62,0,2.19,0,0
 84-94,0,0,6.81,0.78,71.13,0,0,12.87,0,8.05,0,16.98,16.7,1.3,0,1.52,9.24,14.73,0.58,26.78,17.45,0.61,0,21.01,0,9.38,1.48,0,0,151.37,0,0,3.21,0,0,1.5,15.77,5.14,0,1.44,0
 96-106,0,0,3.27,0.59,138.8,0,0.8,17.39,1.95,11.46,1.81,26.46,26.66,0,0.66,2.6,17.45,15.76,16.87,44.86,14.38,0,2.41,48.62,0.91,11.32,8.56,0,0,143.35,0,0,1.46,0.7,0,6.25,38.58,0,0,0,0.86
108-118,0,0,0.71,0,105.82,0,0,4.31,0,14.98,2.54,16.04,12.18,0,0,3.39,15.04,11.11,6.02,58.59,6.22,0,0.97,22.15,0,3.23,4.46,0,1.23,106.96,0,0,1.03,0,0,0.42,32.14,1.88,4.28,0.72,0
120,0,0,0,3.17,103.29,0,0,14.02,0,16.65,0,32.37,12.47,0,0,11.23,7.2,10.59,0,44.37,1.05,8.3,0,12.63,0,1.06,9.9,0,0,92.18,0,0,4.05,0,0,0,28.38,0,0,0,0
