stage,epidermis,eye,fin_epithelia,glial,lateral_line,liver,mesenchyme,neural,notochord,olfactory,pronephros,spinal_cord,xanthophores
 14-21,0,0,0,0,0,7.47,0,0,0,0,2.18,0,0
 24-34,0,0,0,0,0,6.63,0,4.03,0.65,0,20.06,1.01,0
 36-46,0,0.87,0,0,0,1.46,0,0,0.57,1.6,43.25,1.53,1.45
 48-58,0,0,0,0,0,0,0.41,7.13,0,0,2.75,1.43,0
 60-70,0,0,0,0,0,0,0,7.33,0,0,14.59,0,0
 72-82,0,3.39,0,0.53,0,0,0,2.69,0,0,13.98,0,0
 84-94,0,1.22,0,0,0,0,0,1.9,0,0,24.92,0,0
 96-106,0,0,0,0,0,0,0.73,15.3,0,0,23.12,0,0
108-118,0,3.17,0.42,0,0.51,0,2.88,5.32,0,0,16.96,0,0
120,2.62,7.68,0,0,0,0,13.47,0,0,0,12.76,0,0
