stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.35,0,0,3.62,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.11,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,42.33,13.59,0,0,14.95,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.4,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,13.48,0,0,4.2,86.17,0,0,0,0,0,0,0.96,165.06,0,0,0,0,0
 24-34,0,0,0,0,0,0,10.97,0,0,0,0,0,0,0,0,0,0.7,0,0,0,24.67,0,0,1.34,1562.63,0.83,0,0,0,0.77,4.79,1.88,858.17,0,0,12.7,0,1.01
 36-46,0,0,0,1.28,0,0,35.9,2.7,0,0,0,2.29,0,0,0,0,0,1.62,0,6.65,20.43,0,0,9.85,3949.14,0,0,1.05,0,2.17,0,0,1374.73,0,0,0,0,0
 48-58,0,0,0,5.8,4.19,0,108.11,4.4,0,0.54,30.64,0.69,0,6.9,3.99,0.92,0,0.44,0,1.87,21.02,0,0,13.53,4304.42,1.42,0.87,0.51,0,3.24,0.73,0,1546.43,0,0,2.91,0,6.32
 60-70,0,0,0,9.91,0,0,104.33,0,2.01,0,10.88,0,0,0.93,0,0,0,5.4,0,0,22.9,0.65,0,5.35,3215.6,0,0,0,0,0.77,1.82,0,1632.37,0,0,0,0,11.35
 72-82,0,0,0,13.4,6.54,0,181.45,0,2.82,2.21,19.14,3.69,0,1.41,0.54,0,0,0.76,4.55,0,33.03,0.79,0,3.69,2347.32,0,1.02,0,0,4.68,0,0,750.99,0,2.22,0.82,0.62,12.11
 84-94,0,0,0,15.24,2.47,1.2,82.02,0,0.58,0,5.06,0,0,0,0,0.61,8.11,0,1.84,0,11.26,0,0.6,6.41,1172.33,0,0.55,4.89,0,7.12,0,0,547.49,0,1.32,0,0,10.8
 96-106,0,0,0,1.78,0,0,57.32,0,0,0,22.51,0.75,0,0,1.45,0,0,0,2.16,0,7.89,0,0,0,627.88,0,0,2.44,0,3.13,0,0,97.3,0,1.16,0,0,0
108-118,0,0,0,13.86,0,0,39.31,0,0,0,7.17,0,0,3.23,0,0,0,0,2.43,0,13.67,0,0,0,1045.53,0.54,2.13,0,0,1.83,0,0,80.54,1.13,0,0,0,0
120,0,0,0,0,0,0,36.15,0,0,0,13.23,0,0,0,0,0,0,0,0,0,20.81,0,0,0,1101.94,0,0,0,0,1.19,0,0,38.03,0,0,2.66,0,0
