stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,83.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97,3.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.62,0,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.69,0,0,0,28.17,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,6.34,1.68,3.01,0,0,0,1.89,0,8.45,0,0,0,0,1.71,0,0,2.66,16.6,1.92,0,0,0,0,0.87,4.88,0,1.21,0,0,0,0
 24-34,0,0,0,4.71,0,1.03,0,0,0,0,0,12.83,0,0,5.77,0,2.27,0,0,1.58,23.57,8.06,0,2.33,0,1.28,0,8.39,0,2.17,4.5,0,0,0
 36-46,0,0,0,4.9,0,2.36,0,0,0.58,0,0,7.59,0,0,0,3.34,2.43,0,0,0.59,43.86,1.19,0.72,0,0,0,0,8.92,0,0,9.34,0,0,0
 48-58,0,0,0,2.18,0,4.09,0,0,10.97,0,0,8.52,0,0,0,0.64,7.09,1.15,0,0,19.77,0,0,0,0,1.16,0,3.84,0,0,4.35,0,0,5.93
 60-70,0,0,0,2.3,0,22.23,1.14,0,52.34,3.94,0,19.36,8.65,0,0,0,7.91,2.41,0,4.79,27.54,1.13,0,0,0,0,0,7.89,0,0,5.84,0,0.79,42.37
 72-82,0,0,0,0.54,0,45.56,0.58,0,248.75,3,0,17.03,5.08,0,13.61,1.95,17.27,0,0.81,0.51,47.48,0,0,0.88,0,4.25,0,12.6,0,0,3.2,0.88,2.88,58.96
 84-94,0,2.01,1,1.92,0,20.41,0,0,141.4,8.4,1.22,20.07,4.37,0,0,0,9.36,0,0,0,36.16,0,0,0,0,0,0,14.17,0,0,3.09,0,3.97,33.94
 96-106,0,3.34,0,5.72,0,81.8,1.71,0,377.56,5.6,0,30.53,3.05,0,0.73,0,9.16,3.4,0,4.46,67.07,0,0,0,0,3.16,0,8.33,0.82,0,0,3.73,4.25,70.61
108-118,0,0,0,10.4,0,83.81,1.88,0,333.79,13.34,0.58,18.99,4.22,0.7,2.32,0.83,9.84,1.63,4.58,0.52,46.59,0,0,0,0,2.11,0,11.03,0,0,3.4,3.62,2.31,40.7
120,0,0,0,0,3.12,75.65,0,2.41,409.81,5.04,2.35,14.58,3.71,0,0,0,20.07,0,0,0,27.51,0,0,2.92,0,6.38,0,16.3,0,0,0,0,0,5.32
