stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,xanthophores
  3-4,12.63,34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,171.26,0,0,0,0,0,0,0,0,21.64,0,0,0,0,0,0
  7-9,0,4.2,0,0,13.67,0,3.56,0,0,0,130.17,20.03,24.13,0,0,0,0
 10-12,0,19.87,0,17.25,0,0,17.83,3.73,0,0,298.87,5.18,105.9,0,0,0,0
 14-21,0,0,2.56,0,0,0,0,0,0,0,4.82,0,0,0,1.32,0,0
 24-34,0,0,0.88,0,1.45,0,0,0,0.77,0,17.78,0,0,0,0,2.52,0
 36-46,0,0,0.65,0,9.76,0,0,0,0,0.59,19.5,0,0,0,0,1.23,0
 48-58,0,0,0,0,0,1.89,0,0,0,0,8.34,6.6,0,0,0,2.46,0
 60-70,0,0,0,0,7.57,0,0,0,1.15,0,24.35,0,0,1.54,0,1.04,0
 72-82,0,0,0.61,0,3.63,0,0,0,0,0,10.36,0,0,1.37,0,3.31,0
 84-94,0,0,0,0,1.34,0.65,0,0,0,0,13.58,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.8,0,8.22,0,0,0.57,0,3.09,0
108-118,0,0,3.79,0,0.46,0,0,0,1.3,0,0,0,0,0,0,0,2.37
120,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0
