stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0
  5-6,7.99,45.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48,0,0,0,7.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.89,0,0,0,5.03,0,0,0,0,0,0
 14-21,0,0,0,3.26,1.03,0,0,17.33,0,0,0,0,2.5,0.87,6.15,0,0,6.73,0,0,1.5,8.8,0,41.96,0
 24-34,0,0,0,0.82,0,0,0.93,16.75,0,0,0,0,2.76,0,13.52,3.2,1.66,1,0,0,0,7.43,2.68,38.34,0
 36-46,0,0,0,0,0,0,1.68,10.97,0,0,0,0,4.43,0,6.17,0,3.45,0.78,0,0,0,4.25,0,31.39,0
 48-58,0,0,0,0,0,0,0.68,14.98,0,0,0,0,1.61,0,2.38,0,7.77,1.14,0,0.49,0,1.29,0,29.42,0
 60-70,0,0,0,0,0,0,0.91,15.43,0,0,0.67,0,0,0,17.62,0,19.05,0,0,5.42,0,0,0,4.8,0
 72-82,0,0,0,0,0.96,0,0,21.13,0,0,0,0,2.85,0,19.24,0,9.4,1.48,0,1.21,0,0,0,13.32,0
 84-94,0,0,0,1.01,0,0,0.91,8.96,1.95,0,0,0,4.42,0,4.12,0,5.52,2.05,0,0,0,1.4,0,3.14,0
 96-106,0,0,0,0,0,0,0.99,2.8,0,0,8.38,3.93,7.96,0,3.31,0,7.01,3.68,0,4.57,0,2.97,0,8.92,1.22
108-118,0,0,0.94,0,0,1.67,1.63,7.56,0,0,2.52,0,1.2,0,9.51,0,10.46,7.63,0,0,0,0.93,0,10.64,0
120,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,15.03,0,18.44,5.72,0,0,0,14.02,0,15.7,0
