stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,50.67,371.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.76,0,0,0,0,0,0,0,0,0
  5-6,255.85,1767.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.55,8.9,0,0,54.82,0,242.33,0,0,0,0,0,0,0,0,0
  7-9,3.21,6.62,0,80.82,0,0,0,31.52,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,320.74,15.06,0,0,129.41,0,9.4,0,0,0,0,0,0,0,0,0
 10-12,0,9.13,0,70.77,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.01,13.44,0,0,107.14,0,33.42,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,9.46,165.24,0.9,0,5.1,0,0,1.33,17.64,0,0,0,1.03,0,0,62.32,0.85,15.35,0,0,14.58,148.72,2.02,0,1.72,7.4,0,282.48,7.82,2.12,6.84,58.68,0,0,0,0,0
 24-34,0,0,0,3.82,87.47,0.6,0,13.84,0,0,0.7,0.66,0,0,0,0,0,2.37,106.27,0,27.77,0,0,2.96,126.93,3.73,0.65,1.58,0,0,133.3,0,0,0,59.01,0,0,3.15,0,0
 36-46,0,0,0,1.24,38.95,0,0,22.1,1.71,0,4.51,0.74,0,0,0,0,0,3.96,30.23,0,54.87,0,0,3.34,149.65,0,2.15,1.19,0,0,120.66,0,0,0,51.17,0,0,4.26,0,0
 48-58,0,0,0,0,51.49,0,0,10.11,5.51,1.71,26.97,0,8.15,0,0,0,0,2.91,26.55,0,34.97,0.63,6.62,0.41,94.7,0,0.41,0.87,0,0,45.35,0,0,0,35.49,0,0,20.65,0,1.67
 60-70,0,0,0,0,43.78,0,0,33.32,6.25,3.16,110.44,2.87,13.21,0,0,0,0,3.99,9.08,0,87.64,0.65,5.41,10.39,125.27,0,2.24,1.58,0,9.03,35.83,0,0,0,26.97,0,5.51,13.32,0,5.73
 72-82,0,0,0,0,22.36,0,0,9.6,5.06,2.72,163.55,11.8,2.62,0.51,0,2.73,0,6.27,16.7,0,91.24,1.48,3.44,6.53,32.31,0,0,0.5,0,0,12.25,0,0,0,4.61,0,7.52,27.33,1.68,0
 84-94,0,0,0,0,39.79,0,0,14.47,7.49,1.88,119.33,22.03,3.04,0.6,0,1.39,0,11.69,8.18,0,65.54,1.71,6.18,0.71,35.62,0,0.6,0,0,0,35.04,0,3.19,0,2.79,1.36,7.8,19.41,3.95,0
 96-106,0,0,0,0,50.48,1.73,3.89,15.8,3.34,8.33,215.98,39.42,0,0.97,0.93,0.66,0,7.44,8.08,0,95.7,2.15,6.33,5.74,56.43,0,5.24,3.7,0,2.14,27.86,0,0,0,11.3,0.71,9.11,52.05,3.82,0
108-118,0,0,3.41,0,50.96,0,0,12.97,7.86,4.04,245.94,32.03,0,1.35,0.75,2.77,0.94,7.5,4.47,0,108.96,3.74,1.82,3.72,33.64,1.51,3.43,3.3,0,1.63,27.64,0,0,0,4.16,0,6.9,22.96,1.02,0.91
120,0,0,0,0,73.13,0,0,12.61,4.95,1.88,210.8,41.69,0,2.09,5.28,0,1.91,5.23,4.27,0,101.14,1.63,1.26,6.32,45.92,0,0,0,0,12.35,6.67,0,0,0,0,0,31.06,18.9,0,0
