stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,20.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.73,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.34,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,37.36,0,0,0,0,0,8.56,0,0,0,0,0,0,0
 14-21,0,0,0,0,31.66,442.27,0,0,3.78,0,0,0,0,13.87,0,0,0,1.77,0,0,0,0,12.61,1.16,16.74,0,0,1.44,5.04,0,3.18,0,0,228.11,0,0
 24-34,0,0,0,0.64,5.07,48.42,0,9.59,2.42,0,0,0,0,49.55,0,3.16,0,6.06,0,4.5,0,0,21.81,8.76,17.63,0,0,0,8.66,0.68,5.15,0,0,837.91,0,0
 36-46,0,0,0,0,0.57,7.25,0,15.89,0,0.84,0,0,0,32.52,0,0,0,2.14,0,2.6,0,0,74.34,10.06,33.84,0,1.67,0,3.01,0,2.79,0,0,411.69,0,0
 48-58,0,0,0,0,1.08,1.01,0,35.09,0,0,0.37,1.1,0,47.94,0,0,0,4.1,0,16.21,0.68,0.41,119.79,10.21,9.52,0,6.15,0,2.28,0,2.65,0,0.51,309.78,0,0
 60-70,0,0,0,0,0.6,0,0,284.51,3.17,0,2.49,2.6,0,32.82,0,5.18,2.69,16.41,0,27.45,1.86,0,199.54,2.51,11.54,9.56,1.68,0,2.9,0,0,0,2.21,238.47,0,0
 72-82,0,0,0,0,5.58,7.07,0,785.87,0.72,2.47,24.28,3.39,0,45.73,0,6.46,0,14.19,0,38.84,2.83,2.12,274.69,0,23.06,6.81,2.51,0,1.23,0,6.11,0,5.64,358.22,2.29,0
 84-94,0,0,0,0,4.64,0,0,728.47,0,1.55,24.22,4.72,0,26.35,0,15.15,1.46,10.54,0,62.86,12.28,2.01,167.62,2.25,41.2,17.69,0,0,1.2,0,2.67,0,0,446.85,0.77,0
 96-106,0,0,1.36,0,3.91,7.34,0.77,944.86,1.5,0.69,13.61,9.42,0,70.29,0.66,20.66,7.58,27.34,3.85,49.9,6.16,2.11,142.07,4.77,21.28,29.64,1.09,0,0.59,0,0,2.99,2.04,474.43,3.31,0
108-118,0.56,0,0.77,0,5.58,8.81,0,799.84,0.57,0,18.27,6.95,0,29.95,0,23.01,5.31,16.04,0.92,30.94,5.19,5.48,181.92,16.87,27.26,49.05,0,0,2.19,0,0,0,3.94,404.98,3.67,0
120,1.12,0,0,0,19.35,0,1.58,356.74,2.34,0,41.89,26.94,0,28.41,0,10.36,0,16.03,0,37.54,0,3.8,239.83,21.87,46.92,79.3,0,0,6.05,0,0,0,3.74,414.29,0,3.85
