stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.74,1,0,1.74,0,1.16,0,0,0,0,0,0,0,0,0,0,3.19,0,0,13.48,23.93,0.83,0,0,0.97,0,6.01,1.22,1.1,1559.76,467.96,11.24,0,0,0,0,0
 24-34,0,11.18,2.74,0,25.31,791.16,1.3,0,1.37,0,0.95,0,0.83,0,0.85,2.33,2.86,22.6,0,0,167.02,348.23,0.68,4.85,0,0,0,9,0,0,1079.8,771.35,59.29,0,0,14.06,0,0.96
 36-46,0,9.15,0,0,22.43,1260.38,7.03,0,6.92,0,0.95,0,0,2.31,0,16.03,4.91,17.96,0,0,77.22,320.78,3.73,0.61,0,0,0,20.26,0,0,612.94,54.21,46.22,0,0.85,0,0,7.14
 48-58,0,12.05,0.7,0,119.28,861.21,1.57,2.82,15.03,0,1.12,0.97,0,0,0,0,7.44,37.25,0,2.04,65.6,369.68,7.04,3.28,6.46,0,0.39,2.97,0,0,355.93,0,63.07,0,0,1.49,0,23.94
 60-70,0,8.2,2.2,0,48.56,529.35,0.68,0.73,14.21,0,0,1.03,12.19,0,0,1.34,0,20.18,0.58,0,82.75,154.78,4.42,0,0,2.43,0,5.77,0,0,192.83,0,26.1,0,0,2.75,0,5.13
 72-82,0,0.73,12.62,0,90.7,380.57,0,2.96,15.95,0,0,0,0,11.83,0,0,0,25.66,3.44,7.29,53.03,162.23,0,1.11,3.59,1.13,0,9.55,0,0,87.55,0,6.58,1.87,0,1.81,0,9.47
 84-94,0,4.73,8.25,0,74.63,534.19,0,0.57,6.36,1.51,0,0.77,0,0,0.69,0,0,21.37,0,0.8,48.7,69.78,0,0,0,0,0,17.2,0,0.94,148,0,13.75,0,0,7.65,0,7.3
 96-106,0,2.87,38.31,6.97,144.77,600.17,2.74,0,15.24,1.85,0,1.74,0,0,0,9.39,0,45.38,0,2.34,58.77,153.05,0.62,3.94,0,0,0,26.45,0,0,134.45,0,11.16,0,1.27,4.83,7.45,7.97
108-118,0,6.77,0,1.7,71.87,401.06,4.82,1.31,4.86,6.5,0,0.75,0.43,0,0,0.97,0,34.69,0,1.03,54.37,107.06,0.62,6,0,0,0,20.91,0,0,100.42,0,1.43,0,0,6.1,0.9,0
120,0,0,2.65,0,54.67,234.41,0,0,19.73,0,0,0,0,2.63,0,5.61,0,0,1.46,0,34.5,76.3,0,0,18.12,0,0,7.22,1.12,0,37.4,0,0,0,0,4.02,0,0
