stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.74,38.42,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,0,0,4.32,0,0,17.12,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0,219.67,22.05,0,0,43.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.74,0,43.14,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.84,77.87,0,0,111.19,0,0,0,26.42,0,0,0,0,0,0
 14-21,0,0,0,0,2.19,1.94,0.9,0,0,0,2.35,0,0,0,0,0,0,0,0,0.85,3.15,0,0,2.44,14.75,3.57,1.51,0.84,0,0,8.94,5.7,0.97,0.99,16.47,0,0,0,0
 24-34,0,0,0,0,0,0.96,0.73,0,0,0,0.8,0,0,3.07,0.77,0,0,0,0,0,6.37,0,0,6.01,71.79,0,0,2.33,0,0,4.68,0,0,1.39,21.02,0,0.6,0,0
 36-46,0,0,0,0,0,0,6.18,0,0,0,0.62,0,0,0,0,0,0,0,0,0,6.51,0.68,0,0.6,122.56,0,0,0,0,8.6,0,0,0,0,37.67,0,0,0,0
 48-58,0,0,0,0,0.41,0,18.7,0,0.75,0,6.1,0,0,0,0,4.94,0,0,0,0.54,10.72,0,1.12,0,126.69,0,0.62,0.37,0,0,0,0,0,0,34.16,0,0,0,0
 60-70,0,0,0,0,4.83,0.84,38.8,0,0,0.73,4.53,0,0,0.87,0,0,2.82,0,0,0,17.9,0,0,0.59,139.97,0,1.31,1.36,0,0,10.09,0,0,0,18.86,0,0,2.76,0
 72-82,0,0,0,0,1.81,0.54,64.44,0.5,0,0.8,9.9,1.3,0,0,0.72,0.7,3.55,0,0,0,25.53,0,1.12,0.71,128.51,0.66,0,1.04,0,0,0.9,0,0,0,5.87,0,1.99,2.7,3.31
 84-94,0,0,0,0,0.71,0.71,46.71,0,0.91,0,9.72,0,0,0,0.67,0,1.48,0.66,0,2.47,17.77,0,0,0.57,107.44,1.94,2.14,3.13,0,7.92,12.73,0,0,0,20.64,0,0,0,1.59
 96-106,0,0,0,0,1.5,1.14,28.4,0,1.72,1.14,10.38,0.74,0,0,0,0,0,2.71,0,0,21.83,0,0.7,1.33,65.44,0,3.52,0.8,0,0,23.88,0,0,0,1.25,1.2,2.07,0,0
108-118,0,0,0.79,0,0.45,0,40.52,0,0,0,12.5,0.84,0,0,0.42,0,3.24,0.94,0,0,15.68,1.15,0,2.05,86.33,0,0,2.27,0,1.05,8.4,0,0,0,3.85,1.77,7.81,0,0
120,1.12,0,0,0,1.21,0,22.42,0,0,0,16.64,0,0,0,0,0,0,3.86,2.26,0,32.22,0,0,0,196.39,0,4.78,0,0,0,2,0,0,0,0,0,0,0,0
