stage,blastomeres,endoderm,epidermis,eye,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,0,0,14.9,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.04,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.61,78.5,0,0,15.58,0,0,0,0,3,52.54,0,3.36,4.99,0,0,0,0,0,0,0.83,0,0,0,0,0
 36-46,0,0,0,19.19,0,0,4.4,0,0,0,0,33.56,46.7,0,15.55,16.3,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,22.09,1.31,0,0.78,0,0,0,0,97.32,59.96,0.4,16.12,10.6,0,0,0,0,0.81,0,0,4.25,0,0.41,0,6.16
 60-70,0,0,3.03,38.14,0.94,0,0,0,0,0,3.44,77.79,62.57,4.68,17.03,52.5,0,0,0,0,0,0,0,1.68,1.31,0,0,0
 72-82,0,0,1.59,38.91,0,0.69,8.52,0,0,0,0,111.05,116.13,3.85,5.53,16.32,0,0,0,0,1.16,0,0,3,2.19,0,0,0
 84-94,0,3.67,4.28,102.51,0,2.78,1.01,0,0,0,5.19,141.31,87.07,2.6,8.79,39.73,0,1.55,0,0.83,0.95,0,0,0,13.94,0,0,0
 96-106,0,9.04,5.72,78.09,1.03,0,0,0,0,0.63,1.45,86.52,35.63,4.73,5.02,154.96,2,1.95,0,4.62,2.79,0,0,0,8.91,0,2.79,0
108-118,0,2.73,12.41,63.22,0,2.57,0,1.1,0.41,0,5.94,145.42,42.9,4.24,0,52.33,0,2.46,0,2.34,4.71,0,0,0,0,0,0,0
120,0,0,3.39,49,0,0,0,5.09,0,0,6.32,17.9,40.46,0,1.26,146.95,0,0,10.96,0,0,5.04,0,0,16.02,0,2.27,0
