stage,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle
 14-21,0,0,2.8,0,0,9.18,0,0,0,0.89,7.25,0
 24-34,0,0,0,0,0,0,0,4.88,0.7,0,2.71,0
 36-46,0,0.92,1.09,0,0,0,0,0,0,0.72,5.84,0
 48-58,0,0.63,1.43,0,0,1.86,0,0,0,0,1.12,0
 60-70,0,1.33,0,0,0,2.71,0,0,0,1.06,3.36,0
 72-82,0.88,6.19,1.59,0,0,4.66,0,0,0,0,6.32,0
 84-94,0,0,1.63,0.64,0,6.46,0,0,0,0,1.28,0
 96-106,0,0,0,0.83,0,5.7,0,0,0,0,0,0
108-118,0,0,8.22,0,0,2.81,1.82,0,0,0,0,0
120,5.7,0,0,0,2.62,9.87,34.88,1.02,0,0,0,1.52
