stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,12.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,23.19,13.55,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,10.53,0,0,0,0,0,0,0,1.66,0,0,0,0,3.3,0,0,1.54,8.32,0,0,0.99,0,0,1.95,2.01,9.01,0,0,0
 24-34,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,40.54,0.95,0,0,0,0,0,0,0.75,1.17,0,3.53,0
 36-46,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.88,0,0,0,0,0,0,1.22,123.43,1.25,0,0,0,0,0.96,0,0,8.56,0,0,0
 48-58,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0.63,0,0,6.38,0,0.42,0,0,134.69,0,0.81,0,0,0,0,0,0,2.63,0,2.69,0
 60-70,0,0,0,0,0,0,2.73,0,0,0,1.96,0,0,0,0,0,0,0,0.75,0,0,127.18,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3,0,44.57,0.82,0,0,4.04,0,0,0,0,0.63,0,0.62,9.51,0,2.66,190.07,0,0,0,0,0,0,0,0,6.63,0,1.82,0
 84-94,0,0,0.8,0,0,8.36,11.23,0,0,0,0.76,0,0,0,0.65,0,0,0,19.76,0,0,239.61,0,0,3.24,0,0,0,0,0,2.36,0,6.05,0
 96-106,0,0,0,0,1.56,8.02,47.08,1.47,0,0,16.73,1.68,0,3.63,1.14,0.86,1,0,13.93,0,2.46,205.63,0,0,2.33,0,2.69,0,0,0,6.28,2.03,0,0
108-118,0,0,0,0.74,0.47,8.55,46.23,4.09,1.56,0,18.71,0,0,0.78,0.61,0,0,0,4.33,1.55,0,433.5,0,0,3,0,4.59,0.64,0,0,0.45,0,1.08,1.42
120,0,0,0,0,0,0,88.81,2.85,0,0,13.27,0,0,0,0,0,0,0,5.47,0,0,645.97,0,2.97,9.31,0,0,0,0,0,0,0,0,0
