stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,11.48,219.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.04,360.59,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0
  7-9,0,0,10.27,0,0,35.98,0,0,18.71,0,0,0,0,337.04,0,131.8,0,0,0,0,0,0
 10-12,0,31.68,0,0,0,38.25,0,0,6.81,0,0,0,0,344.5,7.04,116.1,6.03,4.75,16.87,0,0,0
 14-21,0,0,1.3,2.76,1.39,4.77,0,0,0,0,4.32,0,2.34,52.93,2.74,1.76,0,15.11,0,3.98,17.92,0
 24-34,0,0,0,0.72,0,4.3,0,1.42,0,0,3.87,0,2.23,50.51,0,0,0,0,0,0,16.81,0
 36-46,0,0,0,0,0,3.3,0,1.06,0,0,3.16,0.67,0.78,24.69,0,0,0,0,0,0,4.69,0
 48-58,0,0,0,0,0,4.25,0,0,0,0,8.19,0,0,7.54,0,0,0,0,0,0,0.56,0
 60-70,0,0,0,0,0,1.9,0,0,0,1.41,0,0,0,0.64,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.86,0,0,0,0,0.67,0.98,0,4.37,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.45,0.64,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.89,0,0,0,0,1.19,0,0,1.65,0,0,0,0,0,0,0,0.53
120,0,0,0,0,0,0,0,0,0,0,0,0,2.2,3.69,0,0,0,0,0,0,0,0
