stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,4.46,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0,0,63.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,654.23,0,0,0,0,0,0,0,0,0,10.58,0,0,0,0,0,0,0,0,0,0,0,543.25,749.61,0,0,72.62,0,0,0,6.12,0,0,0,0,0,0,0,0
 14-21,4.62,6.82,160.71,263.48,133.96,0,39.48,0,35.41,0,1.16,315.82,6.28,19.54,0,2.3,0,0,1.76,0,50.91,0,0,16.76,506.95,329.55,5.23,20.32,39.7,0,0,0,3.76,10.01,14.73,7.68,262.96,0,61.24,0,0
 24-34,0,1.1,40.87,132.87,10.36,0,123.63,0,81.37,26.69,21.52,53.17,0,101.08,0,5.49,0.89,0.74,3.58,0,198.94,0,0,105.6,1276.67,48.88,1.89,15.22,0,2.91,1.27,0,0,13.67,28.96,18.19,127.27,0,222.82,0,0.75
 36-46,0,0,3.2,56.29,0,0,74.09,7.99,19.09,26.11,241.94,6.43,0,48.49,0,0,5.7,0,1.99,0,569.48,0.56,7.08,88.25,2042.41,3.02,0,18.28,0,0,3.25,0.81,0,14.48,33.57,0,184.88,1.87,159.95,0,0
 48-58,0,0,0.4,78.43,0,0,147,1.6,28.19,13.09,435.93,1.08,0,37.5,0,0,18.89,0,1.91,1.85,1395.21,0.59,20.84,60.47,2558.28,4.25,0,59.65,0,10.38,5.46,0,0,1.56,32.91,0,241.78,15.18,237.24,1.29,14.05
 60-70,0,0,0,38.37,3.31,0,241.31,3.88,5.98,9.2,219.58,10.87,0,33.61,17.62,0,24.19,0,1.43,0.86,2978.18,0,56.81,56.49,3072.35,0,0,76.96,0,6.63,0,0,0,4.65,20.5,0,81.07,102.87,353.97,14.42,13.69
 72-82,0,0,1.26,38.9,7.75,0,390.56,1.79,12.82,21.17,403.5,4.14,0,74.12,8.36,0,11.93,3.51,15.28,8.68,4774.26,6.93,85.75,66.68,2975.31,1.1,1.29,159.99,0,32.34,6.14,0,0,3.11,2.36,0,68.01,220.27,796.13,55.87,20.99
 84-94,0,0,2.69,108.76,6.44,0,617.57,1.46,5.28,29.89,339.8,16.07,0,78.98,13.03,3.98,30.38,0.89,0.82,0,3983.84,0,55.98,94.08,1479.37,1.35,3.52,229.14,0,26.12,5.42,0,0,26.98,21.22,0,53.96,192.36,718.94,69.19,0
 96-106,0,0,0,69.55,21.14,0.84,485.31,5.58,5.12,11.02,385.14,18.76,0,48.63,13.73,1.67,24.55,0,13.34,0,3514.84,2.99,63.55,50.07,1616.68,0.96,1.13,282.35,0,18.5,2.97,0,0,7.12,7.92,0,16.59,190.18,831.3,75.64,8.88
108-118,0,0,2.39,80.55,4.7,2.65,400.79,0,4.15,14.17,400.23,15.52,0,33.25,5.2,6.24,34.83,1.14,1.74,0,3650.51,0,77.13,39.25,1754.24,0.69,2.13,219.09,0,35.12,1.51,0,0,22.26,8.68,0,10.74,180.68,704.54,74.58,8.88
120,0,0,0,41.26,4.84,0,279.91,0,0,0,455.94,8.03,0,39.28,5.42,0,16.64,2.98,0,0,2747.06,0,97.19,10.55,1444.77,0,10.74,150.97,0,54.74,11.2,0,0,0,3.8,0,11.27,202.26,705.57,100.55,0
