stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,13.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.69,0,0,3.3,0,0,0,0,0,0,0,0,60.11,0,0,0,0,0,0,0,0,0,17.86,21.34,0,0,9.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.38,0,26.61,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,40.52,77.67,0,0,66.15,0,0,0,24.08,0,0,0,0,0,0,0
 14-21,0,0,1.11,2.36,18.88,4.01,0,0,0,0,0.85,2.62,0,0,0,7.54,0,0,29.72,0,0,12.67,11.13,9.79,0,0.99,4.34,0,0,6.63,1.28,0.89,16.75,0,0,1.06,0,0
 24-34,0,0,0,1.05,3.59,2.96,3.17,0,0,0.67,6.64,0,0,0,0,0,0,1.61,50.51,0,0,10.32,13.46,0,0,0,0,4.81,0,0,1.06,0.6,28.36,0,0,0.68,0,0
 36-46,0,0,0,2.03,2.62,0,0.67,0,0,3.1,0,4.2,0,1.7,0,0,0,0,99.42,0,0.68,22.15,24.78,2.5,0,0.84,0,0,0,0,2.05,0,14.46,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.76,0,0,5.93,6.74,0,0,1.14,0,0,0,0,201.34,0,2.1,18.95,31.01,7.81,1.1,0,0,0,0,0,4.28,0,23.19,0,0,0.39,0,0
 60-70,0,0,0,0,4.71,0,9.83,0.59,6.08,18.95,0,0,0,0,0,0,0,2.4,342.7,0,2.2,30.23,15.16,2.33,0,0,0,0,13.49,0,6.41,0,7.48,0,1,0,2.76,7.87
 72-82,0,0,0,0,1.39,0.49,17.7,0,0,23.33,3.99,0,0,2.58,0,1.73,0.69,0,870.13,0,4.16,26.12,43.84,0.51,1.08,0.51,0,0.87,0.49,0,1.36,0,8.93,0,6.32,3.48,1.12,0
 84-94,0,0,0,0,6.16,3.82,17.09,0,0,14.3,0.56,0,0,0,0,0,0,0,715.8,0,4.4,33.41,20.69,2.89,0,0,0,0,0,0,0.8,0,2.85,0,1.31,0,0,0
 96-106,0,0,0,0,5.17,15.62,10.95,0,0,12.28,8.36,0,0,3.08,0.64,0,0,1.77,863.58,5.92,11.48,33.1,36.54,8.14,4.55,0.6,0,2.45,0.73,0,2.64,0,13.82,2.77,9.47,0,5.54,0
108-118,0,0,0,0,3.55,0,30.17,0,1.29,26.55,1.41,1.11,0,0,0.42,3.24,0,0,998.22,0,4.41,18.02,47.64,1.85,0,0,0,13.51,0,0,0.61,0,3.33,1.45,0,0,1.92,0
120,0,0,0,0,2.6,0,17.77,0,0,7.45,0,0,0,0,0,4.61,0,17.89,927.76,0,8.82,18.95,35.05,4.45,0,0,0,0,5.21,0,4.05,0,0,2.31,6.25,1.23,0,0
