stage,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,melanocytes,mesenchyme,neural,olfactory,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1.34,0.93,1.78,0
 24-34,0,0,0,0,0,0,0,0,15.42,0,0.61,0
 36-46,0,0,0,0,0,0,1.38,0,7.83,0,5.42,0
 48-58,0,0,1.65,0,0,0.57,0,0.62,8.31,0,3.74,0
 60-70,0,0,7.56,0,5.91,2.2,0,2.84,21.79,0,6.3,0
 72-82,0.75,0.53,5.53,0,0,0,0,1.74,26.65,0,0.67,1.88
 84-94,0,0,0,0,0,0,0,0,8.32,0,0,0
 96-106,0,0,0.67,0,0,0,0,0,11.49,0.59,0,0
108-118,0,0,0,0,0,0,0,0,14.65,0,0,0
120,0,0,0,2.41,2.05,0,0,4.37,12.8,0,0,0
