stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,157.69,2957.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.47,0,0,0,0,0,0,0,0,0,0
  5-6,167.69,2234.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,7.5,0,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,7,8.58,0,3.36,0,0,0,0,0,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0,88.96,0,0,0,49.19,0,0,9.29,0,0,0,0,0,0,0,0,0
 10-12,0,10.22,0,0,0,0,0,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.85,0,0.84,0.87,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,1.12,0,0,0.87,211.59,0,1.82,0,0,0,3.13,0,1.22,0,0,176.05,0,0,0,0,4.91
 24-34,0,0,4.21,0,2.89,0.62,0,21.86,0,0,27.16,0,0,0,0,0,0,0,1.3,0,7.45,0,0,3.72,1677.93,0,72.82,0,0,0,9.47,0.86,0,0,0.62,539.38,0,0,3.82,0,2.7
 36-46,0,0,3.98,0,2.43,0.72,0,98.05,5.6,0,26.33,0,0,0,1.07,0,0,0,0,0,5.05,0,0,0,4022.05,0,65.89,0,0,0,19.37,0.81,0,0,0,784.68,0,1.04,8.64,0,0
 48-58,0,0,2.51,0,19.16,0,0,496.51,7.36,0,105.83,0,0,0.51,2.06,0,4.44,0.39,3.07,0,26.71,0,3.77,2.54,5930.29,0,31.24,2.21,0,0,11.25,0,0,0,0,1122.88,0,0,3.18,0.5,6.67
 60-70,0,0,1.4,0,25.73,0,0,1247.85,0.63,0,122.11,0,0,0,0.76,0,0,0,0,0,13.21,0,0,4.05,5668.69,0,35.56,0,0,0,3.56,0,0,0,0,947.73,0,0,4.26,0,9.38
 72-82,0,0,4.36,0,22.96,5.2,0,1612.71,3.86,3.33,190.12,0.56,0,1.66,1.71,0.63,2.02,0.95,0,3.9,60.96,0,6.94,4.53,5063.35,0,59.82,2.51,0,0.71,5.39,0,0,0,0,643.36,5.25,1.64,5.88,2.3,29.95
 84-94,0,0,6.97,0,18.9,11.19,0,1057.37,0,0.77,129.28,3.46,0,0,3.18,0,0,0,0,6.56,18.6,0,11.43,2.63,3335.15,0.89,39.1,0.9,0,2.02,5.87,0,0,0.64,0,405.18,0,0,0.93,2.83,0
 96-106,0,0,6.08,0,15.47,4.04,0,1051.19,0.62,4.51,130.71,1.78,0,0,3.53,0,0,1.7,6.24,0,40.32,3.21,0,2.9,2651.87,0.91,72.3,4.16,0,5.23,10.58,0,0,0,0,170.21,0,0,7.6,0.61,1.22
108-118,0,0,0,0.74,32.8,15.29,0,886.58,0,2.21,132.63,0.58,0,0,2.58,0,0,0,0.52,0,19.21,0,4.08,1.35,3690.8,0,44.59,2.48,0,0,5.63,0,0,0,0,145.62,0.89,0.56,2.55,0,0
120,2.82,0,3.29,0,28.5,0,3.69,501.05,3,0,132.35,1.24,0,0,0,0,0,0,1.58,0,46.71,0,0,2.87,3706.44,1.24,34.73,0,0,0,1.24,0,0,1.63,0,105.75,0,0,12.98,0,0
