stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,0,0,0,0,0,0,0,13.88,0,0,0,0,0,0,0,0,0,0,0,5.24,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,71.49,0,38.18,0,201.75,0,0,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,644.78,0,0,0,17.84,0,3.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.47,37.02,3.84,0,13.06,0,0,0,7.33,0,1.44,0,0,0,13.62,0,0,1.25,287.37,0,0,96.07,873.52,5.57,1.44,0,1.32,0,0,6.57,2.63,1.65,1.54,13.99,0,0,0,0
 24-34,0,0,0,0,22.38,0.81,0,3.05,0,0,0,9.11,0,0,11.58,0,0,25.19,0.68,0,6.42,777.78,0,0,37.03,81.34,2.64,19.55,0,0,0,1.34,0,1.82,0,1.34,24.5,0,0.84,0,0
 36-46,0,0,0,0,1.24,0.67,0,1.95,1.06,0,0,15.33,0,0,3.69,0,0,106.2,0,0,2.61,1081.03,0,0,32.47,156.99,3.05,6.28,0.8,0,0,0,0,1.34,0,0,29.1,3.12,0,0,3.36
 48-58,0,0,0,0,0,0,0,15.57,0,0,0.88,17.37,0,0.39,3.07,0.93,0,202.59,0.4,0,0,1181.63,0,0,35.25,152.9,0,20.86,3.84,0,0,0.88,0,4.59,1.65,0,24.73,0.64,0,0,1.73
 60-70,0,0,0,0,3.58,0,0,29.93,0,0,0,9.77,0,0,0,0,0,379.96,0.72,1.2,0,1043.95,0,0,43.2,149.2,0,2.36,0,0,4.29,1.37,0,1.68,0,0,27.69,1.96,0,0,0
 72-82,0,0,1.94,0,0.59,0,0,64.34,0,0,5.6,7.14,0,0,1.72,0,0,347.55,0.69,1.26,0,1156.38,0,1.08,30.41,95.02,0,14.9,1.1,0,0,1.14,0,0,0,0,14.46,3.09,1.99,0.57,0
 84-94,0,0,0.94,0,1.78,0,0,84.43,0,0,1.51,9.48,0.88,0,0,3.8,0,227.87,1.7,0,0,782.86,0,4.21,25.12,62.62,0,4.51,2.58,0,0,0,0,0,0,0,8.64,0.63,8.39,2.25,0
 96-106,0,0,0,0.72,0,13.4,0.75,42.69,0,1.39,1.54,9.38,1.1,0,0,0,1.23,303.78,0,4.84,0,785.44,0,0,17.76,85.19,0,7.1,1.44,0,2.93,4.59,0,1.09,0,0,6.24,1.93,2.77,0,0
108-118,0,0,0,0,1.2,3.45,0,36.53,0,0,1.52,6.71,0,0,0,4.98,0,408.67,0,0.86,0,684.24,2.27,0.46,29.84,77.78,0,7.9,2.35,0,0,0.55,0,1.2,0,0,4.18,0.81,0,0.49,0
120,0,0,0,0,7.6,0,0,50.79,0,0,0,8.58,1.45,0,0,2.88,0,392.15,1.15,6.68,0,751.9,0,7.03,5.1,107.9,0,7.52,0,0,4.76,1.26,0,0,1.22,0,4.02,0,0,0,13.4
