stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,4.16,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.85,0,0,0,2.62,0,0,0,0,0
 36-46,0,0,0,0,2.21,0,0,0,0,0,0,0,0,19.31,0.6,0,0,0,11.22,0,2.85,0,3.06,0
 48-58,0,0,0.39,0,11.5,0,0,0,0,0,0,0,2.93,7.51,11.36,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,152.37,0,0,0,0,0,6.81,0,0,10.98,1.6,0,0,0,0,0,0,0,0.68,0
 72-82,0,0,0.65,1.41,705.02,0,5.67,0.93,2.79,0,7.59,0,0.63,33.04,0.51,0,0,0,0.7,0.55,0,4.15,0,0
 84-94,0,0,2.73,0,821.26,1.25,0,0,0,0,4.58,0,0,21.74,0.57,0,0,0,0,0,0,0,0.78,0
 96-106,0,0,5.64,6.78,1456.63,0,9.06,1.61,1.67,0,11.74,0,2.96,42.09,3.12,0,0,0,6,0,2.07,0,0,0
108-118,0,0,0,5.11,1495.62,0.74,10.49,0,0,0,9.32,0,2.69,40.49,0,0.92,0,3.53,6.17,0,1.51,0,1.6,2.33
120,0,3.52,1.16,0,1805.46,0,23.26,4.21,0,1.01,12.97,2.22,0,75.88,0,0,0,0,4.04,0,0,0,0,0
