stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,114.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.39,0,0,6.87,0,0,0,0,0,0,0,0,77.29,0,0,0,42.41,0,0,0,0
 10-12,3.43,6.06,0,11.68,0,0,0,0,0,0,0,0,91.83,3.54,0,0,13.52,0,0,0,0
 14-21,0,1.3,0,0,0,0,0,0,0,0,0,3.24,9.34,0.82,0,0,0,4.97,5.31,4.72,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.97,2.5,0,0.76,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.6,0,1.69,5.74,0,0,0.8,0,0,0,0,0
 48-58,0,0,0.56,1.57,0,0,0,0,0.4,2.42,0,0,11.63,0,1.18,2.15,0,0,0,1.55,0
 60-70,0,0,0,0.61,0,0,0,0,0.6,1.54,2.08,0.86,12.2,0,0,6.03,0,0,0,18.43,0
 72-82,0,0,0,2.98,0,0,0.55,0.56,3.05,4.17,0,0,14.09,0,0,6.18,0,0,0,5.49,0
 84-94,0,0,0,9.89,0,0,0.95,0,3.67,4.36,0,0,12.54,0,0,10.64,0,0,0,3.66,0
 96-106,0,0,0,11.11,5.83,0.71,0,1.88,13.67,5.72,0,0,20.62,0,0.56,10.44,0,0,0,0.63,3.15
108-118,0,0,0,7.95,0,0,1.1,0.53,7.44,6.39,0,0,3.4,0,2.2,15.59,0,0,0,0,0
120,0,0,0,0,0,0,0,1.51,7.63,0,0,0,25.75,0,2.2,21.38,0,0,0,9.81,0
