stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.84,0,0,0,3.39,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,1.24,0,0.89,0,0,0.83,0,1.41
 24-34,0,1.22,0.69,0,0,0,0,0,1.29,2.95,0,1.3,16.68,0,0,0,0,0,0,2.51
 36-46,0,0,3.2,0,0,0,0,0,0,0,0,1.05,16.03,0,0,0,0,0,0,15.55
 48-58,0,0,12.91,0,0,0,0,0.39,0,0.99,0,0,34.38,0,0,0,0,0,0,4.04
 60-70,1.12,0,8.41,0,0,0.74,0,0,0,1.17,5.65,0,14.09,0,0,0,0,0,0,1.49
 72-82,0,0,0.75,0,0,0.85,0,0,0,0.62,0,0,11.74,0,0,0,0,0,0,0
 84-94,0,0,2.71,0,0,0,0,0,0,6.81,0,0,10.33,0,0,0,1.14,0,0,0
 96-106,0,0,0,0.56,0,0,0,0,0,0.7,0,0,5.07,0,0,0,0,0,0,0
108-118,0,0,0,0,0,4.24,0,0,0,0,0,0,2.73,0,0,0,3.57,0,0,3.13
120,1.18,0,11.36,0,3.09,0,0,5.32,0,0,0,0,75.37,5.18,0,9,1.92,0,0,0
