stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.67,95.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,0,0,0,0,0,57.64,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,3.7,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,38.1,0,0,0,157.3,0,5.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.31,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,15.54,7.36,0,0,408.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.48,10.82,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,1.06,0,0,0,574.91,0,43.12,2.21,0,0,2.74,0,4.56,0,13.53,22.02,373.19,0,0,0,0,0
 24-34,0,0,5.99,21.7,0,0,22.35,0,2.07,0,9.98,0,0,0,0.6,1.01,0,0,0,3.35,2.58,0,0,1.56,2593.9,0,488.45,8.13,0,0,6.71,0,0,1.41,0,0,1853.79,0,0,3.93,0,0
 36-46,0,0,6.57,6.93,0,0,28.98,0,0,0,10.76,0.65,0,0,0,0,0,0.57,0,0,8.45,0,0,0.78,3863.15,0,574.32,10.82,0,0,21.94,0.73,0,0.58,0.64,0,2321.76,0,0,2.41,0,0
 48-58,0,0,5.01,11.96,0,0,257.91,0,0,0,43.17,0,0,0.58,0,0,2.19,0.44,6.39,0,18.79,0.41,0,0,5425.88,0,470.34,4.61,0,0,16.28,0,0,0,0,0,1612.82,0,0,2.06,0,6.82
 60-70,0,0,1.27,10.05,0,0,591.3,0,0,0,70.88,7.79,1,0,6.49,0,1.9,0,6.8,0,30.59,0.75,1.04,2.42,5987.89,0,613.05,20.65,0,0,17.27,0,0,0,0.71,0,1632.76,4.05,0,6.45,0,0
 72-82,0,0,23.36,23.83,1.47,0,768.89,0,2.2,0,85.7,20.47,0,0,2.57,0.83,8.57,0,0,0,33.42,0,0,2.93,7126.42,0,999.59,61.23,0,1.4,1.49,0,0,0,0,0,1377.41,6.98,1.7,27.39,0,0
 84-94,0,0,31.37,38.73,0.71,0,624.97,0,0.66,6.01,85.39,47.62,0,0.7,4.91,1.02,8.53,5.53,0,0,40.26,0,0,3.04,4744.04,0,1107.17,66.78,0,0,26.93,0,0,0,0,0,792.83,10.94,1.91,32.32,2.23,4.21
 96-106,0,0,43.68,70.22,17.16,0.6,585.31,0,1.94,1.54,224.89,54.84,0,0,5.13,4.13,5.05,7.52,38.85,0,45.51,5.15,0,4.68,4558.01,0,1605.44,106.12,0,0,22.06,3.41,0,0,0,0,485.23,19.06,0,24.83,0.64,7.04
108-118,0,0,64.29,30.59,5.16,4.14,516.73,0.91,1.07,0,431.9,15.14,2.74,0,3.1,0,1.13,0.98,10.67,0,41.52,3.76,0,0.53,4508.67,0,1063.07,68.75,0,0,31.59,0,0,5.63,0,0,370.12,27.58,0,12.62,0.57,4.66
120,0,0,24.78,47.02,11.11,2.02,476.97,0,1.16,0,877.38,15.71,0,0,1.68,0,4.21,10.6,0,0,63.09,0,0,3.33,6215.86,0,1241.29,90.09,0,0,10.74,0,0,7.22,0,0,516.33,24.67,0,0,0,0
