stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,2.24,0,0,0,0,2.61,0,0,0,0,0,4.91,0,0,0,2.55,0,0
 24-34,0,0,1.83,0,0,0,0,0,0,0,0,16.09,0,0,0,11.2,0,0
 36-46,0,0,1.09,0,1.01,0,0,0,0.99,0,0,59.98,0,1.43,0,21.27,0,0
 48-58,0,0,2.06,0,2.42,0,0,6.79,1.26,0,0,61.91,0,1.79,0,14.91,0.5,0
 60-70,0,0,57.92,0,2.49,0,0,0,11.28,0,0,90.46,0,0,1.66,11.77,0,0
 72-82,0,0,98.11,1.66,1.65,0,0,0,2.72,1.81,0.83,140.26,10.28,7.07,2,24.36,0,0
 84-94,0,0,91.14,0,4.18,0,0,0,6.28,0,0,133.14,11.91,1.26,0,4.82,6.29,0
 96-106,4.99,0,141.75,0,2.11,0,10.58,0,9.05,0,0,116.31,0.93,2.17,0,17.09,0,0
108-118,0.68,1.11,109.41,0,10.31,0,0.65,0,6.32,0,0,185.88,7.13,7.01,1.96,4.75,0,0
120,0,0,189.9,0,2.8,0,0,0,0,0,0,272.67,10.36,9.95,0,0,10.74,1.96
