stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,9.65,152.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0
  5-6,0,345.87,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,22.95,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.89,15.94,0,0,0,10.9,0,0,0,5.4,0,0,0,0,0,0,0,165.97,18.42,0,0,32.99,0,0,0,9.82,0,0,0,0,0
 10-12,0,22.21,0,3.73,0,4.5,0,0,0,0,0,0,0,0,0,0,0,246.45,17.11,0,0,65.68,4.24,5.47,0,17.24,0,0,0,0,0
 14-21,0,0,1.38,0.9,3.82,0,0,5.01,0,0,0,1.83,0,0,0,0,0,40.19,0,1.21,1.09,0,22.88,0,7.07,3.7,0,2.74,19.92,0,0
 24-34,0,0,1.71,0.74,1.41,5.78,0,1.58,0.73,0,0,0.65,0,0,2.3,0,0.71,35.74,0.61,18.79,5.53,0,3.41,0,0,3.78,3.1,0,18.82,0,0
 36-46,0,0,0.61,0,0,4.23,0,0,0.61,0,0,0,0,0,1.59,0,0.56,59.33,0,31.26,2.39,0,0,0,0,3.25,0,0,13.42,0,0
 48-58,0,0,0,0,3.27,13.54,0.4,3.19,0,0,0,0,1.68,0,5.86,0.47,0.84,57.96,0,24.56,0.39,0,0,0,0,1.52,0,0,4.6,0,0.66
 60-70,0,0,0.7,0,0,22.5,0,0,1.32,0,0,0,3.96,0,2.94,0,0,65.33,0,24.69,0.58,0,6.2,0,0,0,0,0,13.12,0,0.85
 72-82,0,0,2.07,0,3.66,27.54,0,0.72,2,0,0,0.52,0,0,2.34,0,0,51.09,0,30.5,10.32,0,1.71,0,0,0,0,0,6.37,0,0
 84-94,0,0,2.57,0,3.63,8.6,6.8,3.39,3.09,0,0,0,2.13,0.82,2.75,0,0,28.98,0,26.12,2.09,0,6.32,0,0,3.09,0,0,0,4.47,0
 96-106,0,0,3.8,0,0,7.61,1.12,8.6,0.66,0,1.28,0.59,5.62,0,0,0,0.9,35.03,0,41.95,3.29,0,9.34,0,0,0.89,0,0,6.14,0,0
108-118,0,0,0,0.44,1.54,5.32,0,0,5.32,0,0,0.89,1.13,0,3.44,0,0,19.23,0.95,25.6,15.47,0,2.19,0,0,3.26,0,0,0,0,0
120,0,0,0,0,3.48,2.78,0,0,3.22,0,0,1.63,0,1.5,6.39,0,3.1,80.37,0,39.36,1.59,0,4.76,0,0,0,0,0,0,0,13.14
