stage,blastomeres,epidermis,eye,glial,hatching_gland,heart,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.71,1.99,0,0,0,0,0,0,18.08,0,0,0,0,0,2.21,1.03,1.88,1.99,0
 24-34,0.83,0,9.09,0,0,0,0,1.52,0,91.32,0,0,0,0,0,0,0,0.69,11.38,0.77
 36-46,0,0,43.1,5.93,0,0,0,0,2.68,129.87,0,1.48,13.86,0,0,0,0,0,17.9,4.1
 48-58,0,3.14,46.66,22.54,0,0,0,0.44,0,156.15,0.39,0.41,0.92,0,9.02,0,0,0,35.24,2.45
 60-70,0,0,71.54,26.42,0,0,0,7.26,0,127.17,0,0,0,5.14,0,0,0,0,15.36,2.32
 72-82,0,0,96.42,27.78,0,0,0,1.21,0,84.53,0,0.79,0,0,0,0,0,0,16.93,6.4
 84-94,0,1.45,37.2,29.65,0,0,0,1.11,0,50.09,0,0,0.72,0,0,0,0,0,8.17,5.85
 96-106,0,0,65.58,23.32,0,0.71,0,0,0,54.24,0,0,0.6,0,0,0,0,0,2.02,3.59
108-118,0,0,43.88,53.63,0,0.52,4.14,3.34,0,86.87,0,0,2.33,0,5.29,0,0,0,2.88,3.98
120,0,0,48.99,42.26,0,0,0,6.72,0,51.65,0,0,0,0,0,0,0,0,0,6.2
