stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.19,526.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,0,0,0,0,0,0
  5-6,74.7,729.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.72,19.92,23.23,0,0,56.89,0,0,0,0,0,35.78,0,0,0,0,0,0,0,0,0,0,0,822.43,25.03,0,0,141.27,0,28.62,0,0,0,0,0,0,0,0,0
 10-12,0,49.67,17.48,0,0,77.75,0,0,0,0,0,17.11,0,0,0,0,0,0,0,0,0,0,0,548.02,10.4,0,0,87,4.49,5.55,0,37.3,0,0,0,0,0,0,0
 14-21,0,0,7.89,48.13,19.6,19.32,0,0,0,5.65,3.46,0,0,0,1.16,0,0,0,0,21.7,0,0,19.8,316.5,1.61,1.09,5.02,2.64,8.87,0,13.41,4.96,0,10.58,91.34,0,0,0.82,0
 24-34,0,0,0,4.51,0,172.83,0,0,0.72,20.12,0,0,0,0,0.65,0,0,0,0,76.89,0,0,16.63,1119.61,0,5.77,6.7,0,19.1,0,0,1.75,2.64,1.13,236.64,0,0,11.33,2.31
 36-46,0,0,0,18.87,1.45,406.02,0,4.79,0,41.58,0,0,0,8.37,14.48,0,0,0,0,67.91,0,0,15.78,1150.86,0,5.24,6.43,0,46.62,0,0,3.75,0,0,149.34,0,0,4.55,1.41
 48-58,0,0,0,51.61,2.65,574.36,0.42,1.47,0,92.63,6.29,0,2.25,11.58,7.23,10.15,1.93,2.41,0.58,79.6,5.22,10.37,25.21,918.98,2.65,5.52,25.03,0,15.21,0,0,0,0,0,45.8,0,0,27.28,0.39
 60-70,0,0,0,61.08,0,523.64,0,9.63,0,70.5,13.16,0,0,6.05,0,13.87,0,6.39,0,198.14,1.53,14.62,3.09,399.69,4.14,0,6.93,0,11.29,0,0,5.73,0,0,13.92,0,0,17.4,5.86
 72-82,0,0,0,4.07,3.65,114.44,0,0,2.35,9.75,3.58,0,4.33,0.63,2.33,0,0.61,1.2,0,52.73,0,0,1.64,106.41,0,2.26,4.74,0,2.45,0,0,0,0,0,0.7,0.92,0,5.39,0
 84-94,0,0,0,4.5,0,148.86,0,0,0.94,8.35,8.34,0,0,6.85,4.36,1.98,0.56,0,0,68.67,0,1.92,10.48,90.41,0,0.8,4.51,0,2.67,0,0,0,0,0,6,2.8,0.71,19.55,0
 96-106,0,0,0,2.11,0,19.91,0,0,0,7.89,0,0,1.92,0.57,0,0,0,0,0,11.46,0,0,0.93,48.53,0,0,0.64,0,1.46,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,5.8,0,70.63,0,0,0,12.74,2.1,0,0,2.43,0,1.64,1.42,0.86,0,18.34,0,1.62,2.46,129.13,3.09,0.81,0.9,0,0,0,0,0,0,0,1.21,0.41,0,11.27,0
120,0,0,0,4.23,1.78,168.59,0,0,1.82,46.73,0,0,0,6.59,1.36,1.11,0,0,0,31.07,0,0,18.5,243.21,0,0,3.1,0,0,0,0,0,0,0,0,0,0,2.48,0
