stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,2.11,3.82,0,0,0,0,0,0,0,0,0,0,4.44,0,3.82,36.02,0,0,3.28,1.01,2.49,1.28,0,3.6,4.24,0,0,0,0,0
 24-34,0,0,0,0,8.82,0,0,0,0,0,0.6,0,0,0,0,0.89,0,1.8,57.32,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0
 36-46,0,0,1.24,0,1.53,0,0,0,0,0,0,0,0,0,1.81,0.67,0,0,43.47,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0
 48-58,0,0,0,0,2.6,0,0,2.67,0,0.48,0,0,0,0,0,1.14,2.09,0,20.32,0.5,0,0,0.66,0,0,0,0,6.11,0,0,2.55,0,0
 60-70,0,0,0,0,8.43,0.65,0,1.89,0,0,5.46,0,5.64,0,0,2.17,0,0.86,21.12,0,0,0,2.44,0,0.93,1.25,0,1.45,0.61,0,0,0,3.42
 72-82,0,1.23,0,0,12.1,0,0.64,0,0.67,0,1.81,0,0,0,0,3.54,3.05,0,22.89,0.58,0,0,0.7,0,0,0,0,1.45,1.34,0,0.5,0,0
 84-94,0,0,0,0,3.63,0,0,0.58,0,0,3.55,1.95,0,0,0,1.58,2.05,0,12.31,0,0,0,1.45,0,0,0,0,0,2.03,0,0.85,0,0
 96-106,0,1.36,1.12,0,12.01,0,0,0,2.38,0,18.16,0,0,6.76,0,0.7,0,0,8.53,1.1,0,0,1.32,0,0,0,0,2.52,4.51,0,0,0.85,0
108-118,0,0,0.72,0.53,2.54,0,0,0.73,6.62,0,2.16,3.51,1.13,0,0,2.1,0,0,9.53,0,0.82,0,1.36,0,0,0,0,0,6.47,1.36,0.86,0,0
120,0,0,0,0,0,0,0,14.66,6.94,0,7.58,0,0,0,0,0,0,0,20.49,0,0,0,0,0,0,0,0,0,0,0,18.19,0,0
