stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.61,0,0,0,0,0,0,0,0,0,0,0,0,0,82.48,0,0,0,0,0,0,0,29.82,0,0,0,0,0,0
 14-21,0,0,0,16.6,0,0,1.18,0,0,1.04,0,0,2.22,0,0,24.7,0.81,0,0,0,0,0,1.64,33.81,7.16,4.87,16.49,0,0,0
 24-34,0,2.57,0,1.44,1.45,0,1.02,0,0,5.89,0,0,2.17,0.67,0.72,169.62,0,1.36,0,0,0,0,0,11.88,0,0.72,53.94,0,0,0
 36-46,0,0.58,0,0,19.51,0,0.85,0,0,3.03,0,0,1.95,0,0,155.03,0,1.3,3.6,0,0,1.41,0,7.78,0,0,117.09,0,0,0
 48-58,0,0,0,0,13.74,0,3.17,0,0,0,0,3.72,7.08,0,0,140.12,0,0,2.94,0,0,0,0,0.77,0,0,140.42,0,0,0
 60-70,0,0,0.92,0,11.03,0,2.78,0,2.45,1.18,0.63,0,10.99,0,0,142.48,0,0,2.89,0,1.69,0,0,0.59,0,0,110.66,0,1.8,0
 72-82,0,0,0,0,7.88,0,3.11,0,0,0,0,0,7.58,0,1.71,255.76,0,1.18,0.68,0,0.71,0,0,4.38,0,0,103.33,1.21,0.51,0.76
 84-94,0,0,2.52,0,10.72,0,6.51,2.71,1.22,6.72,1.47,0,21.02,0,0,112.33,0,0,3.43,0,0,0,0,8.54,0,0,7.52,0,1.03,0
 96-106,0,0,7.39,0,15.91,0,2.32,0.57,0,5.2,1.95,0,9.78,0,0,171.63,0,0,1.38,0,0,0,0,5.95,0,0,37.61,1.86,0,5.29
108-118,0,0,0,0,5.07,0.94,16.46,2.2,0,4.06,5.79,0.61,10.96,0,0,144.88,0,0,4.48,0,0,0,0,6.55,0,0,29.62,0,0,3.82
120,0,0,0,0,0,0,6.64,6.58,0,0,2.22,1.1,15.98,0,0,213.08,0,2.28,0,0,0,0,0,0,0,0,77.6,0,0,9.37
