stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.43,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.04,0,0,8.17,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.32,0,0,39.88,0,4.43,0,0,0,0,0,0,0
 14-21,0,0,7.04,2.91,4.07,0,0,0,1.19,1.34,0,0,0,5.03,0,0,2.39,46.35,0.97,0,0,0,4.11,2.11,11.5,5.49,0,0,0,0
 24-34,0,0,1.4,0.68,1.4,0.68,0,0,1.12,0,0,0,0.68,6.26,0.91,0,2.16,27.88,0.99,0.67,0,0.83,0,0,0,6.52,0,0,0,0.89
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,9.12,0,0,0,2.25,0,0,0,3.39,0,0,0,0
 48-58,0,0,1.28,0,2.67,0.97,0,0,0.87,0,0,0,0,2.12,0,0,3.8,5.61,0,0,0,0.46,0,0,0,2.91,0,0,0,0
 60-70,0,0,0,0,6.77,0,0,0,0,0,4.97,0,0,1.06,0,0,0,3.93,0,0,0,0,0,1.06,0,0,0,0,0,0
 72-82,0,0,0,0,10.9,0,0,0,4.56,0,0,0,0,5.63,0,0.7,1.63,2.49,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.27,3.82,0,0,0,0,0,0,0,0,4.85,0,0,0,6.83,0,2.22,0,0,0,0,0,0,0.56,1.23,2.23,0
 96-106,0,0,0,0.85,9.08,0,0,0,4.06,0,0.78,0,0,5.3,0,1.24,1.84,6.37,0,1.95,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.03,0.58,1.44,0.73,0.56,5.39,0,0,0.53,0.65,0,4.54,0,0,0.98,9.27,0.69,2.23,0,2.3,0,0,0,0,0,0,0,0
120,0,0,1.23,1.28,0,0,0,0,0,0,0,0,0,2.9,0,0,0,4.32,1.93,0,0,1.55,0,0,0,0,0,0,0,0
