stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,12.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.11,0,0,0,11.71,0,0,0,0,3.61,0,0,0,0,0,0,0,106.72,0,0,0,13.47,0,0,6.41,0,0,0,0,0
 14-21,0,0,1,0,5.91,0,0,0,0,0,0,0,0,3.19,0,0,2.15,24.15,0,0,0,0,0,0,0,3.52,0,0,0,0
 24-34,0,0,0,0,1.38,0,0,0,0.63,0,0,1.21,0,4.67,0,0,0.93,23.07,0,0,0,0,0,0,0,5.93,0,0,0,0
 36-46,0,0,0,0,27.86,0,0,0,0,0,0,0,0,4.15,0.58,0,0.57,12.88,0,2.18,0,0,0,0,0,0,0,5.14,0,0
 48-58,0,0,3.07,0,311.31,0,0,0,2.43,0,0,0,0,11.46,0,0,1.86,15.64,0,0.58,0,0,0,3.77,0,2.94,0,0,0,0
 60-70,0,0,0,0,1441.76,0,0,0,3.05,0,1.43,1.03,0,97.32,0,0,5.94,28.93,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.74,0,1168.87,0,0,1.97,23.08,0,0,4.38,0,271.31,0,6.38,3.19,58.87,0,12.03,0,0,0,0,0,2.4,2.46,0,0,1.17
 84-94,0,2.01,0.81,0,878.16,0,0.6,9.66,15.67,0,0,7.1,0,283.55,0,14.42,7.01,41.11,0,0,0.75,0,0,0,0,1.67,0.71,3.11,0,0.58
 96-106,0,0,10.18,0,691.08,0,0,18.88,7.44,0,1.28,1.41,1,228.42,0,18.85,1.08,65.12,0,5.77,1.16,0,1.51,0,0,0,0.58,2.42,0,0.85
108-118,0,0,2.52,6.59,618.42,1.3,0,6.46,6.53,0,0.56,7.75,0,292.52,0,24.28,4.58,75.48,0.46,6.63,6.69,0,0,1.03,0,0,3.95,0.61,0,0
120,0,0,35.11,0,292.98,0,0,10.32,0,0,0,8.79,0,188.94,0,16.75,0,77.57,0,0,3.57,0,0,0,0,0,6.25,19.96,8.03,0
