stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,14,1.28,9.68,0,0,0,6.25,0,0,0,1.47,0,0,0.88,8.5,0,0,20.38,207.07,1.71,0.95,0,0.99,0,0.86,18.6,16.77,57.73,0,0,0.89,0,0
 24-34,0,9.25,0.92,32.71,0,1.2,0.61,5.27,1.88,0,0,0,0,0,0,43.36,0,0,21.91,276.75,0,1.48,1.47,0,0,10.48,0,0.73,56.87,0,0,10.38,0,0
 36-46,0,2.01,0,64.12,0,0.74,0,5.55,0.57,0,0,0,0,0,0,23.39,0,2.91,8.16,151.71,0,0,0,0,0,8.49,0,0,30.81,0,0,5.74,0,0
 48-58,0,9.79,0,53.01,0,0,0.4,13.81,0,0,0.56,0,4.8,0,0,36.8,0,13.24,8.1,117.5,0,0,0,0,0,0.67,0,0,12.66,0,0,1.47,0,0
 60-70,0,17.7,0,28.65,0,4.17,1.06,8.18,0,0,0.67,0,5.9,0,0,30.4,1.76,4.03,8.4,48.23,3.11,0.89,1.71,0,0,2.18,0,0,3.93,0,0,1.67,0,0
 72-82,0,2.36,0,19.34,0,2.88,3.29,26.37,0,0.75,0,0,0,0.5,0,48.37,0,2.2,7.95,68.05,0,0,2.14,0,0,1.31,0,0,6.18,0.92,1.34,7.76,1.68,2.08
 84-94,0,1.84,0,16.35,0,0,1.79,11.39,0,0,0.99,0,0,0,0,31.3,0,2.25,5.11,53.65,0.89,0,0,0,0,4.48,0,0,5.47,0,2.4,7.82,3.72,0
 96-106,0,5.37,0,18.51,0.67,0,0.81,21.89,0,0,0.65,0,3.35,0,0,43.91,5.16,0.76,8.04,43.54,0,0.76,11.02,0,0,0.75,0,0,10.1,0,0.76,10.06,3.81,0
108-118,0,7.3,1.59,14.78,0,5.17,0.94,19.2,0,0,1.35,0,0,0,0.66,53.15,0,2.51,5.55,53.22,0,0,1.74,0,1.02,11.62,0,0,3.2,0,0,3.48,0.5,0
120,0,17.12,11.7,16.37,0,0,0,57.21,0,9.97,0,0,0,0,0,30.69,1.15,5.9,12.71,95.96,0,1.46,0,0,0,1.18,0,0,5.36,0,0,1.66,0,0
