stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,23.83,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0
 14-21,0.87,0,0,0,0,0,0,0,0,0.81,0.86,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.61,0,0,0,0,0,0,0,7.03,2.74,0,0,0,0,0,0,0,0,0,0
 36-46,0,1.07,0,0,0,2.34,0,0.59,0,1.85,6.8,0,0.6,0,4.33,0,0,0,0,0,0
 48-58,0,2.41,0,0,0,0,0,0,0,3.61,0,0,0,0,10.31,0,0,0.52,0.71,0,0
 60-70,0,0,0,0,0,0,0,0,0,4.22,0,0,2.62,0,0,0,0,0,0,0.92,0
 72-82,0,7.15,0,0.79,0,0,5.6,0.58,0.54,9.79,0,1.12,3.99,0,2.54,0,0,0.88,0,7.77,0
 84-94,0,10.15,0,0,0,0,13.71,0,0,10.43,1.5,0,8.53,0,17.76,0,0,0,0,13.09,0
 96-106,0,23.32,5.46,1.55,0.62,0,39.9,0,0,18.65,9.24,0,19.15,0,36.38,2.07,0,0,0,28.4,0
108-118,0,30.2,0,4.03,0,0,54.24,0,1.68,18.91,2.82,3.74,17.27,0.49,6.48,0,1.01,0,0,33.05,3.32
120,0,41.15,0,0,0,8.27,54.94,0,0,39.86,0,2.61,4.53,0,16.97,0,0,0,0,15.87,0
