stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.1,0,0,0,0,9.87,0,0,7.99,0,0,0,0,0,0,0
 10-12,3.56,10.2,0,0,5.98,0,0,0,0,0,0,0,0,21.53,0,0,11.9,0,14.35,0,0,0,0,0
 14-21,0,0,5.17,0.97,1.77,0,4.77,0,0,0,0,0,0,12.61,0,0,0.87,2.69,2.51,1.91,0.9,22.51,0,0
 24-34,0,0,1.53,0,1.48,0,3.02,0,0,0,0,0.77,1.8,17.51,0.98,0,0,0,1.48,0,0.82,9.17,0,0
 36-46,0,0,0,0,3.03,0,4.77,0,0,0,0,5.04,0,31.12,0,0,0,0,0,0,0,8.27,0,0.68
 48-58,0,0,0,0,7.78,0,2.93,0,0,0,0,7.38,1.02,7.1,1.25,0,0,0,0.61,0,0,8.86,0,2.25
 60-70,0,0,0,0,27.03,0,0.92,0,0,0,0,0.67,0,22.72,1.02,0,0,0,0,0,0,0.8,0,0
 72-82,0,0,0,0,2.07,0,2.54,0,0,1.08,0.9,2.89,0,12.17,4.4,0.76,0,0,0,0,0,2.17,0,0
 84-94,0,0,0,0,3.01,0,1.78,1.03,0,0,0,0.57,0,6.7,0,1.29,0,0,0,0,0,0,0,1.84
 96-106,0,0,0,0,0.58,0,0,0,0,0,0,0,0,16.92,1.44,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.1,14.53,2.46,0,0,0,0,0,2.68,0,6.43,0,1.03,0,0,0,0,0,0.62,0,0.85
120,0,0,0,0,2.09,0,0,0,0,0,0,15.04,0,19.71,0,0,0,0,0,0,0,0,5.53,0
