stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,pronephros,somites,spinal_cord
  3-4,0,28.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0,4.38,0,0,0
 10-12,0,5.05,0,109.9,0,0,9.76,0,0,0,0,0,0,0,62.26,0,13.01,0,0,0
 14-21,0,0,0,0,0.82,1.49,0,10.84,0,0,0,0,0,0,1.38,0,0,7.04,0.86,40.87
 24-34,0,0,1.41,1.6,0,0,1.11,12.53,0,1.92,0,0,0,0,16.78,1.71,0,11.7,0.62,23.88
 36-46,0,0,0,0,0,0,7.13,10.88,0,0,0,0,0,5.17,11.12,0.72,0,7.74,0,18.15
 48-58,0,0,0,0,0,0,4.64,11.4,0,0,0,0,0,1.11,10.28,4.41,0,0,0,21.84
 60-70,0,0,0,0,0,0,1.52,25.74,0.85,0,0,0,0,3.47,2.82,1.42,0,0,0,11.18
 72-82,0,0,0,0,0,0,1.47,16.61,0,0,0,0,0,0,3.82,1.05,0,0,0,7.19
 84-94,0,0,0,0,0,6.83,1.96,7.26,0.82,0,0,0,0,0,0,2.21,0,0.7,0,7.98
 96-106,0,0,0,0,0,0,0.82,6.21,1.66,0,0,0.67,0,0,2.88,7.72,0,0.87,0,2.87
108-118,0,0,0,0,0,0,0,10.19,0,0,0.85,0,0,1.07,3.14,0.87,0,0,0,2.09
120,0,0,0,0,0,0,0,26.36,0,0,0,0,3.99,0,0,0,0,0,0,0
