stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.72,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,4.75,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.27,10.11,0,0,0,0,0,0,0,0,0,24.04,0,0,0,0,0,0,0,0,0,0,3.87,2241.12,19.82,0,0,115.98,0,6.2,0,29.22,0,0,3.28,0,0,0,0,0
 14-21,0,3.41,1694.84,8.22,0,4.77,0,2.99,0,0,0.91,1.18,0,0,4.35,0,10.28,0,0,36.04,1.14,0,65.86,263.25,4.13,8.87,26.46,17,0,0,39.6,16.9,0,42.43,169.26,0,0,0,0,0
 24-34,0,9.57,664.79,1.66,0,14.48,0,5.87,1.87,17.9,0,0,0.69,0,0.89,0,30.62,0,0,166.62,1.93,0.91,136.1,483,2.92,0.77,12.9,0,3.89,1.84,0.93,0,0,49.26,282.14,0,0,1.1,0,0.87
 36-46,0,0.78,175.67,0,0,145.56,0,0,1.63,89.42,0.67,0,0,0,0.91,0.65,17.34,4.06,0,434.51,9.23,0.74,66.43,1196.92,0,2.04,12.53,0,0,0,0,0,0,0,277.85,0,0,2.81,0,0.85
 48-58,0,0,120.37,0,0,186.96,0,0.38,2.8,467.9,0,0,0.37,0.87,0,0,7.74,0,2.42,647.55,0.74,1.86,24.47,1021.28,0,0.76,17.38,0,0,6.08,0,0,0,0,222.2,0,0,0.93,0,6.31
 60-70,0,0,51.35,0,0,169.8,0,0,39.63,481.41,0,0,0,1.42,0.69,0,6.77,8.97,0,1135.65,0,2.78,50.03,618.76,0,0,14.35,0,1.03,4.04,0,0,0,0,207.34,0,3.01,2.94,0,0
 72-82,0,0,40.8,0,0,314.12,4.15,5.57,9.93,544.13,0,0,0.58,0.64,0,0,1.26,0,0,1510.97,0,5.2,68.52,565.99,3.37,0,7.22,0,0,0,0,0.57,3.67,0,57.16,0.87,6.86,1.63,4.09,0
 84-94,0,0,31.42,0,0,325.26,0,1.88,17.88,310.67,0.66,0,0,1.45,0,8.11,4.72,0,0,1157.91,0,6.34,51.93,331.27,0,0,10.93,0,0,0,0,0.93,0.69,0,81.62,0.56,0,2.84,4.01,9.79
 96-106,0,0,37.03,0,0,282.62,0.6,2.62,25.62,378.51,3.55,0,0,2.91,0,0,2.14,0,0,975.83,1.13,2.95,51.38,409.8,0.79,1.94,7.6,0,6.01,1.34,0,0,0,0,7.65,0,8.33,2.9,0.69,0
108-118,0,0.89,17.02,0.6,4.19,277.93,0,0,23.96,429.67,0.44,0,0,3.52,2.97,0,4.48,2.43,0,1276.54,0.43,18.94,57.78,461.38,0,0,7.81,0,4.59,0,0,1,0,0,11.35,0.94,0.99,0.45,0,0
120,0,0,7.57,0,0,263.05,0,0,25.67,718.1,4.76,0,0,3.04,3.51,0,4.75,0,4.02,1161.4,0,6.92,21.23,525.96,0,0,13.09,0,6.27,1.13,0,0,0,0,6.18,0,0,18.57,17.1,0
