stage,blastomeres,epidermis,eye,fin_mesenchyme,gut,immune,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,79.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,48.03,0,13.25,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0
 14-21,0,0.91,0,0,0,0,3.83,0,1.12,1.05,0.95,0,0,0,0,0
 24-34,0,0.91,0,0,0,0,7.78,0,2,3.12,0,0,0,0,0,1.32
 36-46,0,0,0.78,0,0,0,5.28,0,2.65,0.87,0,0,0,1.47,0,0
 48-58,0,0,0,0,0,0,0.61,0,1.02,0.46,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0
 72-82,0,0,0,0,0,1.16,0.93,1.52,0,1.05,0,0,0.5,0,0,0.56
 84-94,0,0,0,0,0,8.09,0,0,0,3.51,0,0,0,0,0,1.07
 96-106,0,1.7,0,0.99,1.34,1.33,1.65,2.07,0,0,0,0,0,0,5.48,0
108-118,0,0,0,0,0.8,3.35,0.56,0,0,0,0,0,1.16,0,0,1.85
120,0,3.12,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0
