stage,axial,blastomeres,epidermis,eye,glial,immune,ionocyte,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm
  3-4,0,11.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.37,15.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.24,0,0,0,0,0,7.27,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.57,0,4.83,0
 14-21,0,0,0,0,0,0,0,0,0,0.99,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.7,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.98,0,0.39,0,0
 60-70,0,0,1.56,0,1.7,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.23,0,1.14,0,0,0,0
 84-94,0,0,0,0,0.84,0,0,1.13,0,0,0.7,0,0
 96-106,0,0,0.86,0,0,0,0,1.6,0,0,3.15,0,0.98
108-118,0,0,0,1.03,0,0,0,0.88,0,0,1.01,0,5.38
120,0,0,4.28,0,0,2.32,2.21,0,0,17.7,0,0,1.48
