stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0
 10-12,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,1.3,7.37,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0
 24-34,0,0,0,2.91,0,0,24.12,0,0,0,0,0,0.82,0,0.64,0,0,0,0,1.69,0,0,1.62,34.15,0,0,0,0,0,0,0,11.5,11.61,0,0,0,0,0
 36-46,0,0,0,1.82,0,0,1188.2,1.09,1.63,0.87,4.24,0,0,0,0,0,0,0,0,6.49,0,0,0,144.71,0,0,0,0,0,0,0,0,41.64,0,0,1.01,0,0
 48-58,0,0.55,0.43,13.73,1.81,0,4779.97,2.94,8.25,0.57,56.56,0,0.51,0,0,0,0,0,0.64,17.34,0.41,1.07,6.84,536.96,9.93,0,0,0,0,6.54,0,0,77.79,0,1.42,3.23,0,0
 60-70,0,0,0,12.77,2.5,0,8926.47,1,8.43,1.75,179.51,0,0,4.76,0,9.62,0.66,5.21,0,51.07,0,1.97,1.7,637.06,0,1.03,14.04,0,0.63,1.74,0,0,83.63,0,0,0.75,0,8.8
 72-82,0,2.01,0,35.44,0.81,0,11030.63,0,11.29,13.1,303.83,5.29,0,0.49,6.83,6.64,0.89,9.29,0,60.42,0,0.51,5.37,578.07,0,0.84,1.76,0,1.67,2.93,0,0.88,59.48,0,0.63,4.51,6.26,4.74
 84-94,0,0.86,0,59.98,1.63,0,7947.08,0,8.64,11.77,318.59,4.62,0.85,0,0,13.69,2.13,0,5.22,102.3,0,2.26,3.28,457.35,0,0,3.47,0,0,15.17,1.1,0,64.37,0,7.88,9.14,0,19.27
 96-106,0,0,0,35.63,15.13,5.92,7655.18,0.79,16.91,1.21,372.88,1.7,1.47,12.71,0.9,3.1,0,11.2,0,46.73,1.15,0.58,4.86,529.38,0,2.73,1.21,0,0.87,11.62,1.36,0,47.62,0,5.25,6.11,1.68,3.47
108-118,0,0,0,75.01,5.18,1.16,7337.42,0.77,37.64,4.94,411.57,0.67,0,1.49,0.43,1.52,0,2.22,0,52.82,2.75,1.5,2.25,460.81,0.54,1.39,0.48,0,2.29,12.44,3.96,0,16.55,3.54,0,3.96,9.86,2.83
120,0,0,0,24.11,3.09,3.69,6897.51,0,43.29,0,555.55,0,0,3.12,0,0,0,0,0,47.5,2.91,0,12.52,760.04,1.33,16.89,0,0,17.57,3.78,2.43,0,46.72,0,0,37.18,0,0
