stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,pronephros,spinal_cord,vasculature
  3-4,20.81,0,0,0,0,0,0,0,0,0
  5-6,8.41,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.8,0,0,0
 14-21,0,0.93,0,0,0,0,2.41,0,0,0
 24-34,0,0,0,0,0,0,0.94,0,0,0
 36-46,0,0,0,0.81,0,0,1.78,0,1.5,0
 48-58,0,0,0,0.57,0,0,8.94,0,2.31,0
 60-70,0,0,0,2.86,0.59,0.6,2.74,0,0,0
 72-82,0,0,3.66,7.94,0,0,9.01,0,0,0
 84-94,0,0,0,2.07,0,0,0,0,0,1.93
 96-106,0,0,0,1.71,0,0,0,1,0,0
108-118,0,0,0,0,0,0,2.68,0,0,0
120,0,0,0,0,7.45,0,13.91,1.04,0,0
