stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,0,172.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.18,268.91,0,0,0,0,0,0,0,0,22.37,6.07,0,15.84,0,0,0
  7-9,6.46,35.58,4.13,0,52.81,0,12.19,0,0,0,234.25,3.98,46.17,3.63,0,0,0
 10-12,0,6.19,12.68,0,19.93,0,9.56,0,0,0,103.95,0,48.65,0,5.85,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.43,0.96,0,3.01,0,0,0,0,1.25,0
 60-70,0,0,0,0,4.51,0,0,0,0,0,2.83,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,1.87
 84-94,0,0,0,0,0.95,0,0,0,0,0,6.61,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0
108-118,0,0,0,0,0.83,0,0,0,0,0.48,1.42,0,0,0,0,0,0
120,0,0,0,7.85,4.92,7.72,0,0,19.49,0,9.66,0,0,0,0,0,0
