stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,immune,liver,mesenchyme,neural,notochord,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,1108.25,8478.33,0,0,0,0,0,0,0,0,0,0,0,0,0,196.46,0,0,0
  5-6,1175.08,4935.85,0,0,0,0,0,38.3,0,0,0,44.88,31.14,25.69,0,83.65,0,0,0
  7-9,4.99,11.91,9.69,0,38.33,0,0,21.8,0,0,0,565.15,5.9,42.82,0,0,0,0,0
 10-12,0,0,0,0,22.52,0,0,0,0,0,0,73.51,0,3.45,0,0,0,0,0
 14-21,0,0,0,2.61,0,0,0,0,0,0,0,0.84,0,0,0,0,0.85,0,0
 24-34,0,0,0,0,0,1.06,2.07,0,0,0.66,0,1.02,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,1.88,0,0
 48-58,0,0,0,0,6.22,0,0,0,0,0,2.17,13.06,0,0,0,0,1.24,0,0
 60-70,0,0,0,0,12.73,0,0,0,0,0,11.57,17.58,0,0,0,0,2.9,0,0
 72-82,0,0,0,0,2.86,0,2.26,0,0,0,5.33,8.64,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.07,0,1.99,0,0,0,1.69,0.58,0,0,2.48,0.84,0,0,0
 96-106,0,0,0,0,9.03,0,0,0,0,0,2.99,6.23,0,0,0,0,0,0,0.74
108-118,0,0,0,0,3.17,0,5.83,0,1.37,0,7.39,1.25,0,0,0,0,0,1.04,0
120,0,0,0,0,2.84,0,0,0,0,0,0,21.81,0,0,0,0,0,0,0
